Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
76,11,9,3,16,11,13,9,15,19,13,6,13,8,14,11,11,24,9,15,25,8,5,17,6,5,12,9,15,5,2,20,14,17,9,18,15,7,22,9,10,23,8,11,21,22,32,3,16,24,9,13,9,12,4,16,11,4,14,3,8,10,3,19,26,10,2,12,9,18,14,16,11,16,14,12,0,12,16,15,26,12,16,12,14,4,10,12,10,10
77,1,6,8,18,22,3,3,10,10,10,6,2,4,2,23,21,37,3,26,22,4,9,14,7,9,23,3,4,14,13,26,10,12,4,8,4,12,26,6,3,17,6,3,16,34,43,9,10,13,20,24,3,8,10,12,21,15,4,14,19,4,14,11,21,21,12,7,2,19,3,11,8,9,9,11,12,0,5,10,22,8,6,3,3,9,4,23,6,5
78,6,8,14,24,26,5,8,12,13,9,10,4,9,4,26,27,40,8,30,28,9,12,20,12,13,27,8,4,20,19,24,12,14,7,6,3,18,23,8,7,19,9,6,22,40,46,13,12,8,27,29,8,12,12,15,26,20,3,20,23,8,19,12,23,26,18,12,8,23,3,13,6,7,12,9,16,5,0,12,26,6,1,4,4,12,7,28,7,8
79,10,15,14,12,15,12,13,5,14,20,13,10,13,10,15,16,29,8,19,16,7,18,8,8,18,16,12,11,9,15,34,5,12,13,17,10,21,37,16,13,8,15,12,9,27,35,15,5,19,14,16,9,3,19,4,14,12,13,15,16,13,17,16,12,15,16,3,10,12,11,2,17,18,1,20,15,10,12,0,16,17,12,12,9,18,12,17,6,5
80,23,29,26,10,20,24,26,19,30,32,25,22,26,23,26,23,35,21,26,2,20,32,10,20,30,24,26,25,23,28,48,20,27,24,28,26,33,46,28,24,14,27,24,7,34,35,27,20,32,25,25,21,15,32,12,19,23,26,27,28,26,30,29,23,24,28,16,22,10,24,16,28,29,14,32,26,22,26,16,0,29,27,26,24,31,25,25,20,18
81,8,2,8,19,21,5,5,18,18,3,6,7,4,7,22,22,37,10,26,28,10,7,20,9,7,24,6,10,14,14,18,17,18,4,6,8,13,19,3,6,25,4,6,23,33,42,9,18,14,21,24,9,14,7,19,22,16,4,14,19,5,14,18,29,22,13,14,7,20,6,19,1,5,16,3,12,8,6,17,29,0,6,5,10,8,4,23,13,12
82,6,8,14,24,28,5,8,12,12,9,11,4,9,4,27,27,40,8,30,28,10,12,21,13,12,28,8,3,19,18,22,12,13,8,6,3,18,24,8,7,19,9,6,22,38,46,15,12,9,25,29,8,13,13,15,27,20,3,20,25,8,19,12,24,26,19,14,8,24,3,14,6,7,13,9,16,6,1,12,27,6,0,5,4,13,8,28,7,9
83,2,4,9,20,23,0,4,12,13,8,7,2,5,3,24,22,36,5,25,24,6,8,15,8,8,24,4,4,14,14,22,13,14,4,6,4,14,23,3,2,20,5,2,18,33,43,10,13,12,21,24,4,10,8,14,22,16,2,15,20,3,15,13,24,22,14,9,4,18,2,14,5,6,12,8,12,3,4,12,26,5,5,0,6,8,3,24,8,8
84,3,8,11,22,25,6,5,8,9,12,8,4,6,3,23,23,39,5,28,25,6,11,16,9,12,26,5,2,16,16,26,8,10,6,10,2,16,27,8,5,15,8,5,18,34,44,11,8,10,22,25,5,10,11,12,23,17,6,17,22,6,16,9,19,23,15,10,4,21,4,10,9,10,10,12,14,3,4,9,24,10,4,6,0,11,6,24,4,5
85,9,6,4,21,14,8,6,18,19,9,5,9,6,9,16,14,30,11,18,29,12,1,21,10,1,16,7,12,10,6,16,18,21,6,14,11,6,17,5,6,26,4,7,24,26,37,4,18,20,14,16,10,15,0,20,14,8,10,7,12,6,7,19,29,14,6,16,8,21,10,20,8,13,18,9,4,9,12,18,31,8,13,8,11,0,6,16,15,14
86,3,3,6,16,19,3,1,13,14,8,4,4,2,4,21,20,34,5,24,23,6,5,16,5,6,22,1,6,12,11,22,14,15,0,8,6,12,23,3,1,20,2,2,19,32,42,7,13,14,18,22,5,10,6,14,20,14,5,13,17,0,12,14,24,19,11,10,3,17,4,15,4,8,13,8,10,4,7,12,25,4,8,3,6,6,0,21,9,8
87,22,22,15,15,6,24,21,21,31,25,18,24,19,25,1,2,14,21,3,23,19,17,15,17,16,2,20,26,10,10,21,21,29,21,29,25,10,24,20,22,21,20,23,19,11,20,15,21,37,2,1,19,15,15,15,6,8,27,10,4,20,9,30,26,2,11,15,21,16,25,18,23,27,15,24,12,23,28,17,25,23,28,24,24,16,21,0,22,21
88,6,12,10,18,20,8,8,5,10,16,10,7,8,6,21,20,36,4,24,20,3,13,13,6,14,23,8,6,12,12,30,5,7,9,12,5,16,30,12,8,12,11,8,15,32,42,10,5,14,19,23,4,6,15,10,21,14,10,13,18,9,13,10,18,20,12,6,6,17,7,6,12,13,6,16,10,6,7,6,20,13,7,8,4,15,9,22,0,2
89,6,11,10,17,20,8,8,6,11,16,9,6,8,5,20,18,35,4,24,21,2,13,12,4,14,21,8,7,12,11,29,6,9,8,12,6,16,31,11,8,13,11,7,14,30,42,10,6,16,19,22,4,5,14,8,20,12,9,12,17,8,12,12,18,19,10,5,6,16,7,7,12,13,5,16,10,5,8,5,18,12,9,8,5,14,8,21,2,0
