Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
34,8,16,18,12,6,33,5,11,13,9,8,20,10,30,18,5,7,14,10,9,12,14,15,19,22,9,19,15,13,5,18,9,12,0,7,26,19,38,5,0,30,8,23,14,6,11,14,10,12,14,20,10,28,9,13,12,7,10,10,21,10,15,5,10,18,18,9,3,7,11,20,15,30,12,6,30,12,17,11,15,6,10,14,4,10,8,24,32,3,24,20,11,39,13,6,9,8,37,10,16,0,20,11,25,9,13,18,13,16,12,20,13,12,9,6,7,21,5,9,8,16,38,19,10,14,8,15,5,1,9,9,9,10,27,5,8,3,12,10,11,11,6,7,12,12,20,5,2,16,17,6,5,37,15,17,8,4,12,10,15,15,27,7,16,18,27,7,12,10,18,14,12,23,23,14,17,36,17,8,22,6,8,19,7,7,17,5,9,6,7,7,12,2,19,10,22
35,7,15,23,12,6,40,4,18,20,9,0,14,10,38,26,12,0,19,4,10,19,14,12,21,27,16,26,14,20,5,24,10,13,7,0,32,13,45,7,7,39,8,22,20,6,11,21,17,12,21,26,5,27,10,12,18,0,16,4,14,3,22,5,16,24,18,16,9,7,17,28,15,34,12,6,37,13,24,18,21,7,11,20,11,16,15,32,42,9,30,26,12,46,21,8,16,15,44,3,23,7,20,11,34,16,20,24,14,17,19,20,19,20,9,2,0,15,2,10,8,22,45,20,9,7,14,22,8,6,15,11,10,10,26,12,15,5,14,17,17,12,9,7,13,19,26,12,9,22,23,6,5,42,15,16,15,9,20,17,15,14,32,3,16,27,32,8,11,10,26,14,12,23,30,14,17,43,17,4,15,13,14,14,14,4,10,6,10,2,7,4,19,5,26,3,28
36,30,27,17,25,31,7,31,15,13,28,34,48,30,10,13,21,32,13,34,22,14,25,42,30,4,17,13,27,14,32,8,25,19,26,32,0,46,12,26,25,9,27,20,13,31,24,12,16,22,12,7,35,27,26,24,14,32,16,34,48,37,14,28,16,8,35,17,25,28,16,7,38,3,21,32,4,26,10,16,12,28,23,12,21,16,19,1,8,24,12,7,26,12,12,24,17,18,11,34,10,26,19,25,3,18,13,9,24,30,14,22,14,13,28,30,32,44,31,26,28,10,13,19,24,39,19,11,26,26,17,21,23,30,26,22,19,27,20,16,17,21,25,27,19,14,18,20,25,11,10,33,29,11,18,17,18,24,13,16,24,28,2,33,38,12,26,25,21,30,13,27,21,22,2,30,36,19,23,35,48,19,18,46,19,31,42,27,24,33,30,32,14,30,7,34,5
37,16,24,36,19,14,51,15,30,31,18,12,5,15,52,38,25,12,32,10,23,30,23,5,28,39,29,37,23,31,15,35,20,25,19,13,46,0,57,19,19,49,17,34,32,16,22,32,28,25,32,37,10,35,21,21,30,13,28,12,20,11,33,17,28,37,10,29,21,18,29,41,8,49,22,14,50,20,37,30,34,16,20,34,24,30,26,43,50,21,43,40,20,59,34,21,27,27,56,10,34,18,31,23,46,29,33,35,22,24,30,29,32,32,18,14,12,18,15,20,17,36,57,34,20,6,26,33,20,18,28,23,22,15,33,24,28,18,26,30,29,23,20,19,25,31,38,25,21,33,36,14,18,55,27,28,28,21,33,28,20,18,46,13,8,37,44,18,24,16,38,22,23,32,45,16,9,56,26,11,6,26,28,22,25,13,16,18,22,13,16,13,31,17,39,10,42
38,42,36,21,36,44,6,43,26,24,38,46,56,42,7,20,32,46,24,47,35,25,36,51,43,16,27,18,36,25,42,21,37,33,38,45,12,57,0,38,38,8,40,22,24,43,33,24,27,33,24,18,45,38,37,38,27,43,30,46,55,46,22,41,30,21,46,28,34,38,27,18,49,10,36,42,8,38,21,28,23,43,35,24,32,28,30,12,6,37,14,19,38,1,25,38,29,31,1,45,21,39,24,34,12,30,26,21,36,41,27,32,25,26,38,42,46,60,43,37,39,22,11,24,37,51,31,22,36,38,29,33,34,40,37,34,30,42,33,28,28,35,37,40,31,27,18,33,36,22,22,44,40,3,29,30,30,36,25,28,36,40,12,42,50,18,23,36,35,41,20,38,34,25,15,39,46,16,34,48,56,32,30,56,32,45,56,38,34,46,39,44,25,41,18,49,17
39,12,11,22,16,10,34,5,16,14,5,7,22,14,30,18,5,7,13,10,4,12,10,16,15,21,9,20,11,12,5,18,5,8,5,7,26,19,38,0,5,32,3,26,15,10,7,14,15,17,14,20,10,22,5,8,12,7,10,9,19,10,20,9,10,18,22,10,2,3,10,21,21,29,8,10,30,9,16,15,16,3,6,14,5,10,8,25,32,2,24,20,7,37,15,2,9,8,38,10,17,5,26,6,27,10,14,17,9,12,12,16,13,12,4,5,7,20,5,5,4,16,38,14,5,13,8,16,1,4,9,5,5,14,21,6,10,3,8,10,15,16,2,3,8,12,24,5,5,15,16,10,9,38,10,13,8,2,14,10,19,19,26,7,19,20,32,3,7,14,19,10,8,28,23,18,22,38,13,8,21,7,8,19,7,8,18,2,5,6,11,6,14,6,19,9,21
40,7,16,19,12,6,34,5,11,13,9,7,20,10,30,18,5,7,13,10,9,12,14,14,20,22,9,19,16,12,5,18,10,12,0,7,25,19,38,5,0,32,8,23,14,6,11,14,11,13,14,20,10,29,10,12,12,7,10,9,21,10,15,4,10,17,18,10,3,7,10,22,16,27,12,6,30,13,16,11,15,7,10,14,4,9,7,24,33,3,23,20,12,40,14,6,9,8,36,9,16,1,20,11,27,9,13,17,14,17,12,21,13,13,9,6,7,21,5,10,8,16,37,18,10,14,8,15,6,1,9,9,9,10,25,5,8,3,12,10,10,12,6,7,12,12,20,5,2,16,16,6,5,36,15,18,8,4,14,10,14,14,26,7,15,20,28,8,12,10,19,14,12,23,23,14,17,39,18,9,22,6,8,19,7,7,17,5,10,6,7,6,12,2,19,10,22
41,35,30,14,29,36,2,36,22,18,33,38,52,36,1,13,26,39,18,41,28,18,30,45,35,10,22,12,29,19,36,13,28,24,30,39,9,49,8,32,32,0,32,16,18,37,29,16,21,27,17,12,41,36,31,30,20,36,21,39,52,40,16,32,22,14,41,22,30,31,21,10,45,6,28,35,11,31,14,19,17,33,30,17,27,22,23,8,3,28,8,12,30,8,18,31,23,24,7,40,18,31,18,28,12,23,17,14,29,35,20,30,18,19,32,36,36,50,36,30,33,15,8,28,28,42,24,19,31,32,22,28,29,36,35,27,22,34,24,21,21,27,28,31,24,18,12,27,29,16,15,36,34,6,26,28,24,28,19,21,30,32,8,38,42,11,17,30,25,35,13,30,26,20,9,34,41,11,27,41,50,26,24,50,24,36,48,31,30,37,34,38,18,32,12,42,10
42,14,8,26,18,13,33,4,18,14,2,8,20,17,31,22,8,8,15,9,5,13,8,19,12,23,11,21,8,14,4,19,3,8,8,8,27,17,40,3,8,32,0,29,18,12,5,15,18,19,16,22,12,19,3,5,13,8,11,8,18,8,23,12,11,20,26,10,5,1,12,22,22,30,6,12,30,6,18,17,16,2,4,15,8,11,9,28,35,5,26,21,4,39,18,3,11,8,40,8,17,8,27,4,28,10,15,18,6,9,14,14,15,14,2,6,8,19,8,3,1,16,39,15,4,12,9,17,2,7,11,6,4,16,18,8,12,6,8,12,17,19,4,1,8,14,27,8,8,17,18,13,12,38,10,10,10,4,14,11,21,22,27,5,24,22,34,2,6,18,21,8,6,31,25,21,25,38,10,11,20,8,10,18,8,11,16,3,4,6,14,5,17,9,21,8,22
43,19,39,4,15,21,17,25,13,26,32,22,37,20,16,9,22,23,22,26,31,22,35,30,43,22,24,9,36,17,28,22,31,34,23,22,20,34,22,26,23,16,29,0,12,19,33,28,12,10,30,16,25,50,31,34,22,21,26,26,33,26,8,18,25,14,26,26,25,30,22,14,29,18,32,20,24,36,15,12,21,29,34,29,22,24,24,20,18,25,10,20,32,23,11,27,24,23,22,25,31,22,2,32,23,22,28,26,36,38,22,41,21,22,30,24,23,37,22,31,29,16,24,40,32,30,27,31,28,23,23,30,30,20,47,23,17,23,35,30,13,12,29,28,35,24,4,22,22,16,16,21,18,21,37,38,24,25,26,27,13,16,20,24,28,10,8,28,33,18,9,36,35,4,20,18,25,22,39,25,36,24,25,34,27,21,33,26,30,24,19,26,13,22,24,24,17
44,18,26,7,14,18,20,18,4,15,19,20,35,18,17,5,11,20,13,23,20,10,26,28,31,11,14,6,26,5,18,12,20,23,14,20,13,32,24,15,14,18,18,12,0,18,22,16,4,10,18,6,23,38,21,25,12,20,15,23,32,22,4,16,14,4,23,14,14,17,10,8,27,15,22,19,16,23,4,3,10,17,22,18,11,14,15,12,19,14,10,10,23,24,0,17,13,12,23,22,20,13,10,22,12,12,16,16,24,28,12,33,9,11,20,19,21,35,19,20,19,6,24,29,21,27,16,19,16,14,11,19,20,19,37,11,7,16,24,20,4,9,18,17,23,14,9,11,12,5,6,18,16,22,27,27,13,14,16,16,12,14,13,20,25,6,17,18,22,18,5,25,24,12,10,16,24,24,28,22,37,15,14,34,14,20,32,16,20,20,18,20,2,16,12,22,8
45,2,21,21,6,2,37,9,15,17,14,5,17,4,35,24,9,6,18,7,14,17,19,11,25,26,13,24,20,16,11,22,14,18,6,6,31,16,43,10,6,37,12,19,18,0,16,19,14,10,18,24,6,31,14,18,16,5,14,9,18,8,20,2,14,22,13,14,8,12,14,26,10,31,17,2,34,19,20,16,19,12,16,19,8,14,12,30,36,8,28,24,17,43,18,11,14,11,41,5,20,6,17,16,30,14,18,22,20,22,16,25,17,16,14,7,5,17,5,15,14,19,43,23,14,10,12,19,10,6,12,14,14,4,31,10,12,7,17,15,14,9,12,12,17,17,23,9,6,20,21,2,2,42,21,22,13,9,18,14,9,9,32,8,11,23,29,13,16,5,22,19,17,18,27,8,12,41,22,4,17,11,12,18,11,2,14,10,14,7,2,10,17,4,23,6,27
46,18,5,29,23,16,30,8,20,11,5,12,24,19,28,24,11,11,10,13,2,12,4,24,9,19,9,24,4,18,8,15,2,4,11,11,24,22,33,7,11,29,5,33,22,16,0,11,21,24,11,17,15,17,2,2,11,12,8,12,23,12,25,15,8,20,29,8,9,4,12,18,26,26,2,16,26,2,18,20,13,6,1,12,11,8,8,22,30,8,24,16,4,34,21,6,9,10,34,12,13,11,30,1,24,12,10,14,3,6,11,10,14,12,5,10,11,23,12,2,5,17,36,11,2,16,6,12,6,10,11,2,2,20,15,12,16,9,4,8,21,23,5,4,4,10,30,11,11,16,16,16,15,32,6,6,9,8,11,8,26,24,23,10,26,25,37,4,2,21,25,4,1,34,21,24,27,37,7,15,26,8,8,21,7,14,20,6,2,10,17,10,20,13,17,12,20
47,18,15,24,18,19,20,19,16,2,17,21,34,19,16,20,9,21,5,24,12,7,13,29,18,8,5,20,14,12,18,6,12,8,14,21,12,32,24,14,14,16,15,28,16,19,11,0,16,18,1,12,24,22,14,14,6,21,5,24,33,24,20,16,5,14,25,5,12,14,7,14,26,14,10,20,16,14,13,17,7,17,12,1,10,5,7,12,19,13,19,8,15,24,17,13,5,7,24,22,3,14,26,12,13,6,1,4,14,16,6,15,8,7,16,18,22,35,20,13,17,12,25,13,12,28,7,3,14,16,7,10,12,18,21,9,11,16,9,4,16,17,12,14,8,3,25,10,12,12,12,19,16,22,9,11,6,12,2,4,21,20,13,20,28,19,32,15,10,18,20,14,11,29,10,20,24,25,12,23,35,8,6,33,7,20,31,15,11,20,18,21,14,16,5,24,12
48,14,24,8,10,16,23,15,1,14,18,16,31,14,21,8,9,18,11,20,19,10,23,24,29,12,12,10,26,4,16,10,20,21,10,17,16,28,27,15,11,21,18,12,4,14,21,16,0,6,16,10,20,36,20,23,10,16,14,19,30,19,5,12,13,8,20,13,12,16,10,11,22,19,22,16,20,22,7,2,10,16,20,16,10,13,13,16,22,13,14,9,22,28,4,16,12,12,28,20,18,10,11,21,17,10,15,14,24,25,11,29,8,9,19,16,17,29,15,19,18,6,29,28,19,23,16,19,16,12,10,20,20,15,36,10,6,12,22,20,0,6,16,16,22,14,10,10,10,6,7,15,13,26,26,26,12,14,14,15,8,12,17,16,22,10,17,18,20,14,9,25,21,13,15,12,20,28,28,19,33,14,13,29,14,17,26,15,19,16,14,16,3,12,11,18,12
49,9,26,12,4,10,29,16,6,16,20,12,25,10,25,14,12,12,14,15,20,11,26,20,31,18,14,15,26,8,17,12,23,23,12,12,22,25,33,17,13,27,19,10,10,10,24,18,6,0,18,15,14,39,22,24,13,12,15,16,24,15,10,8,15,13,16,16,14,19,12,16,17,24,24,10,24,24,12,6,11,18,21,18,12,16,15,21,27,16,19,14,24,35,9,18,15,13,33,14,20,13,9,22,21,12,18,17,26,27,12,31,10,11,21,14,12,26,11,22,21,11,34,30,22,18,17,20,17,13,12,21,20,10,38,12,8,14,23,21,6,1,18,19,23,16,15,12,12,10,12,10,8,30,27,30,14,16,16,17,3,6,21,14,18,14,20,20,24,8,14,27,24,11,19,8,15,34,28,13,26,15,14,25,16,12,22,17,21,14,9,15,8,11,14,14,17
50,19,15,26,18,20,18,18,16,3,16,22,36,19,16,21,9,21,6,25,11,8,14,28,18,8,5,20,14,13,20,7,13,8,14,21,12,32,24,14,14,17,16,30,18,18,11,1,16,18,0,13,23,20,13,14,6,20,5,23,32,24,22,16,5,16,25,5,12,15,8,14,27,15,10,19,16,14,14,17,7,18,12,0,10,5,7,11,20,12,19,8,15,23,17,14,6,7,23,22,2,14,28,12,12,7,2,4,14,16,6,14,8,8,16,19,20,36,19,12,16,13,25,12,12,29,7,2,14,14,7,10,11,18,20,9,12,16,8,4,17,18,12,15,8,4,26,10,13,13,12,19,17,22,9,10,6,12,3,4,20,21,12,21,26,20,34,14,10,18,20,14,11,30,10,20,26,28,11,22,35,8,7,31,8,21,32,16,12,20,18,21,16,16,6,23,12
51,24,22,12,20,25,12,24,10,9,22,26,41,23,11,8,15,26,7,30,18,8,20,34,25,6,11,8,21,7,23,6,18,18,20,26,7,37,18,20,20,12,22,16,6,24,17,12,10,15,13,0,30,34,18,19,8,28,11,28,39,29,9,22,11,3,30,10,19,20,10,2,32,9,18,26,10,19,4,9,6,22,18,12,15,11,13,6,14,18,7,4,21,18,7,18,10,13,19,28,14,20,15,18,8,11,11,10,20,23,8,25,7,8,22,26,27,40,26,19,22,4,19,24,19,34,13,14,20,21,12,16,17,25,32,15,12,22,18,15,10,16,18,21,18,9,14,16,18,5,4,26,23,17,22,22,12,19,10,10,18,20,7,27,32,8,21,20,17,24,8,20,18,16,5,22,31,18,22,29,42,14,13,38,13,27,35,22,18,26,23,26,8,22,7,29,2
52,6,20,27,10,4,42,9,20,24,14,6,12,6,38,28,14,5,22,6,14,21,19,7,25,31,19,30,19,22,10,26,15,17,10,5,35,10,45,10,10,41,12,25,23,6,15,24,20,14,23,30,0,34,15,18,21,6,18,9,17,7,24,8,18,26,13,20,12,12,20,30,11,40,16,4,40,18,26,21,24,12,15,23,14,19,16,34,44,12,34,27,16,49,24,11,18,18,47,5,26,10,22,15,37,18,24,27,19,20,22,25,22,21,15,7,6,16,5,15,13,25,50,24,14,4,17,25,10,9,18,14,14,5,31,15,18,7,16,19,19,14,11,12,16,21,28,14,12,25,27,4,8,47,20,21,18,12,23,20,12,9,35,8,11,30,33,13,16,6,28,20,16,21,32,9,12,46,22,2,12,16,18,18,16,4,14,10,14,7,6,10,22,8,27,7,31
53,35,12,43,38,33,35,23,38,23,19,28,30,36,38,42,28,28,26,27,19,27,13,38,8,27,26,39,13,32,24,27,18,16,28,27,27,35,38,22,29,36,19,50,38,31,17,22,36,39,20,34,34,0,17,15,27,26,24,24,20,25,44,32,26,36,45,24,24,21,28,35,42,33,16,31,30,14,33,36,28,20,16,22,27,24,24,28,37,24,38,30,16,36,39,22,25,27,37,28,19,28,49,18,26,27,22,24,14,11,27,7,29,27,18,26,27,21,29,18,20,34,40,14,17,30,22,19,22,28,28,18,19,36,2,28,31,25,15,18,36,36,22,20,15,24,48,26,27,34,33,31,32,37,13,11,26,23,24,23,42,42,30,25,43,41,52,21,17,36,39,12,15,50,30,39,44,47,10,29,28,25,24,19,25,31,20,22,19,26,32,23,36,30,26,26,32
54,16,6,28,22,15,32,6,19,12,4,10,22,18,30,22,10,9,12,11,2,12,5,22,11,20,8,22,6,15,6,16,1,6,9,10,26,21,37,5,10,31,3,31,21,14,2,14,20,22,13,18,15,17,0,3,11,10,8,11,21,10,24,14,8,18,28,8,7,3,10,20,24,27,3,15,30,4,17,20,14,5,1,13,10,9,7,24,32,7,23,18,2,38,20,4,8,9,37,11,15,9,30,2,26,10,12,17,4,7,11,11,13,11,3,8,10,23,11,1,4,15,38,13,1,15,6,14,4,9,10,3,2,19,18,10,15,8,5,10,20,21,4,3,5,11,30,10,10,15,16,15,14,36,8,8,8,6,12,9,24,24,26,8,26,22,38,2,4,20,22,5,3,32,24,24,27,35,8,13,23,7,7,21,6,13,19,5,2,8,16,8,18,11,18,11,20
55,20,3,32,25,19,33,9,24,13,4,12,21,21,31,27,13,12,13,11,4,14,2,26,7,22,10,26,3,18,8,16,3,6,13,12,24,21,38,8,12,30,5,34,25,18,2,14,23,24,14,19,18,15,3,0,12,13,10,10,21,10,27,17,10,20,31,9,10,6,13,20,29,27,4,18,29,1,19,23,14,6,2,14,12,10,9,24,32,10,24,19,2,36,23,7,10,12,38,14,15,12,32,2,26,13,13,16,1,4,12,8,15,14,4,12,12,20,14,4,5,19,38,13,3,16,8,14,7,12,13,4,4,22,14,13,18,12,6,10,22,23,7,6,6,12,31,12,14,19,18,18,17,35,8,8,10,9,12,10,27,27,25,10,29,27,40,5,4,22,26,2,4,36,24,26,28,37,5,15,22,10,10,20,9,17,18,8,4,11,19,9,22,15,19,11,21
56,16,15,19,12,18,20,17,11,4,14,20,34,16,20,14,7,18,2,22,9,2,15,28,20,10,3,14,15,6,17,6,10,11,12,18,14,30,27,12,12,20,13,22,12,16,11,6,10,13,6,8,21,27,11,12,0,18,3,20,32,22,15,14,3,9,22,3,10,14,2,10,24,18,12,18,18,13,8,11,4,16,10,6,8,3,4,14,22,10,12,8,12,27,12,11,3,5,25,21,9,12,21,11,14,4,5,6,14,15,1,21,3,2,14,16,18,32,18,10,14,6,28,18,10,26,5,9,11,13,4,8,9,16,26,7,6,14,12,9,11,11,10,14,12,3,19,7,11,7,6,17,15,24,14,18,4,10,4,4,14,15,15,19,25,14,27,12,11,16,14,14,12,23,12,15,22,27,18,19,33,6,5,29,6,18,29,12,10,18,16,19,9,14,7,21,10
57,7,15,25,11,6,39,4,18,20,9,0,14,10,37,25,12,0,19,4,10,18,15,12,20,29,16,27,15,19,5,23,10,13,7,0,32,13,43,7,7,36,8,21,20,5,12,21,16,12,20,28,6,26,10,13,18,0,17,4,13,3,21,5,17,24,17,16,9,7,17,28,16,36,12,6,37,12,24,18,23,7,10,22,11,16,14,33,38,9,30,26,12,44,21,8,16,14,44,3,23,7,20,10,33,16,20,24,14,16,19,21,20,18,9,2,0,15,2,9,8,22,44,20,10,7,14,23,8,6,16,11,10,10,27,12,15,5,13,17,18,12,9,7,12,19,26,12,9,21,24,6,5,41,15,17,16,9,21,17,14,14,34,3,16,26,31,7,11,10,26,14,12,24,32,14,16,44,18,4,15,13,15,14,14,4,11,6,9,2,7,4,20,5,26,3,27
58,14,12,21,14,16,23,14,13,4,12,16,30,14,20,16,5,16,4,20,7,4,11,25,17,12,2,16,12,9,15,9,8,9,10,16,16,28,30,10,10,21,11,26,15,14,8,5,14,15,5,11,18,24,8,10,3,17,0,19,28,19,17,12,0,12,21,0,8,10,4,11,22,19,9,15,20,10,10,14,6,12,8,5,6,0,2,17,24,8,15,10,10,30,14,9,2,3,28,20,7,10,24,8,17,3,4,8,10,13,3,18,5,4,12,14,16,30,14,8,12,9,30,15,8,22,3,6,9,10,4,6,7,14,24,5,8,12,10,6,14,14,8,11,9,3,21,5,8,9,9,15,12,27,12,14,2,8,4,2,18,18,16,16,22,16,30,10,8,14,17,12,9,27,15,16,21,28,15,18,31,4,2,28,3,16,28,11,7,16,14,16,12,12,10,18,12
59,11,12,27,15,9,40,5,19,21,8,4,12,13,38,29,15,4,22,3,12,22,11,15,17,30,18,29,11,22,5,28,10,16,10,4,34,12,46,9,9,39,8,26,23,9,12,24,19,16,23,28,9,24,11,10,20,4,19,0,11,2,23,8,18,26,22,19,12,8,19,29,20,39,13,9,38,10,26,21,23,6,12,24,14,18,17,34,43,12,32,28,8,46,22,11,18,16,48,5,26,10,23,12,34,18,22,26,10,12,21,17,22,22,8,5,4,12,5,11,8,26,49,24,11,6,17,25,10,8,17,14,12,14,22,14,18,8,15,18,19,15,11,9,16,21,27,13,11,24,26,9,8,45,18,18,17,11,23,19,18,18,35,3,18,28,34,9,13,14,27,11,14,27,32,16,20,48,14,7,13,16,16,10,17,7,8,8,12,4,11,3,21,8,29,3,30
60,20,20,38,25,18,50,16,29,32,18,13,16,21,50,38,24,14,33,11,24,32,22,24,16,40,29,38,20,33,15,36,22,26,21,14,48,20,55,19,21,52,18,33,32,18,23,33,30,24,32,39,17,20,21,21,32,13,28,11,0,11,34,18,28,38,30,30,21,19,32,40,26,47,25,17,48,22,35,30,35,17,22,34,24,28,28,46,51,23,42,40,19,60,32,22,30,27,58,13,36,20,32,24,46,30,33,37,20,17,33,28,32,34,18,16,13,2,15,22,18,34,56,34,22,15,28,36,20,20,28,24,23,22,20,25,28,18,26,29,31,25,23,19,27,33,40,25,21,34,38,18,18,54,29,28,27,22,34,31,26,26,46,14,28,39,45,20,23,23,37,19,25,35,43,25,30,56,24,16,16,26,28,2,26,16,5,20,24,14,19,14,31,18,38,12,42
61,10,13,26,14,8,40,5,21,22,8,3,12,12,38,28,15,3,23,1,13,22,12,15,18,31,19,28,13,22,5,26,11,16,10,3,37,11,46,10,10,40,8,26,22,8,12,24,19,15,24,29,7,25,10,10,22,3,19,2,11,0,26,8,19,26,19,20,11,9,20,32,18,36,14,8,40,10,27,20,24,6,12,24,13,18,18,34,41,11,32,28,10,45,24,12,18,17,48,3,26,10,24,12,36,18,23,26,12,14,22,19,23,22,8,5,3,12,5,11,8,25,46,22,11,5,17,25,11,9,18,14,13,12,25,15,18,8,16,20,20,14,12,9,16,21,28,14,12,25,25,8,8,46,18,18,17,12,22,18,16,16,37,3,18,29,35,10,14,12,29,12,13,24,34,15,20,48,16,6,13,15,17,11,16,6,8,9,12,4,9,3,22,8,30,2,30
62,18,30,4,15,20,18,20,5,20,24,22,35,19,16,4,15,21,16,24,23,14,28,29,34,14,18,5,29,9,19,15,25,28,15,22,14,33,22,20,15,16,23,8,4,20,25,20,5,10,22,9,24,44,24,27,15,21,17,23,34,26,0,17,18,7,24,18,17,21,15,7,28,14,27,21,16,26,8,5,14,20,26,21,15,19,18,13,19,18,9,13,26,22,4,21,16,16,22,24,23,15,6,24,16,14,20,18,28,30,16,36,13,14,24,21,21,36,20,25,22,9,24,34,24,29,20,23,20,15,14,24,24,20,42,14,10,17,26,25,5,11,20,21,26,18,4,15,14,9,9,20,18,21,29,31,16,19,19,20,13,16,13,22,28,5,13,22,25,19,4,30,28,8,13,17,25,23,34,22,37,18,18,35,18,22,31,20,24,22,19,21,6,18,16,25,10
63,3,20,20,8,4,33,8,13,16,13,5,19,5,33,21,8,5,15,9,13,15,18,13,23,24,11,21,18,15,10,20,14,17,5,5,28,17,41,9,4,32,12,18,16,2,15,16,12,8,16,22,8,32,14,17,14,5,12,8,18,8,17,0,12,19,14,12,7,11,12,22,11,30,15,4,31,17,19,14,17,11,15,16,6,12,10,28,34,7,26,22,16,39,17,11,11,9,38,7,18,4,16,16,28,12,16,19,18,20,14,24,16,15,13,6,5,18,4,14,12,18,41,23,13,12,10,17,10,5,11,13,13,6,31,8,10,6,16,14,13,8,10,10,17,14,21,7,4,17,18,4,1,37,20,21,11,8,16,13,10,10,29,7,12,22,26,11,15,6,20,19,16,19,26,10,13,42,21,6,20,9,10,18,10,4,16,9,13,6,2,8,16,3,21,8,24
64,14,13,21,14,15,23,14,13,4,12,16,29,14,22,17,5,17,4,20,7,4,12,23,18,12,2,16,12,9,14,8,8,9,10,16,16,28,30,10,10,22,11,25,14,14,8,5,13,15,5,11,18,26,8,10,3,17,0,18,28,19,18,12,0,12,21,0,8,10,4,12,21,19,9,15,21,10,10,13,6,12,8,5,6,0,2,16,23,8,15,10,10,30,14,9,2,2,28,18,8,10,23,8,16,4,4,8,11,14,3,18,5,4,12,15,17,28,14,8,12,9,28,16,8,22,2,6,9,10,4,6,7,14,23,5,8,12,9,6,12,14,7,10,10,3,21,5,8,10,9,15,12,26,12,14,2,8,4,2,17,18,18,17,21,16,29,10,8,13,18,12,9,25,14,17,21,28,15,18,32,4,2,27,3,16,28,11,7,16,13,16,12,12,10,19,12
65,22,23,10,16,23,16,21,7,12,21,25,37,22,14,6,13,25,10,29,17,8,24,33,29,8,11,5,23,6,22,9,18,20,18,24,8,37,21,18,17,14,20,14,4,22,20,14,8,13,16,3,26,36,18,20,9,24,12,26,38,26,7,19,12,0,28,12,16,19,8,4,31,12,20,24,12,21,2,7,8,20,19,16,14,12,12,8,16,16,6,7,20,20,4,16,11,10,19,27,18,18,12,20,10,10,14,13,22,24,9,29,7,8,20,22,25,39,22,18,19,3,21,27,19,32,13,18,17,18,9,17,18,22,35,12,10,19,21,18,8,14,15,19,20,12,10,13,15,3,3,23,19,18,24,26,11,16,12,14,16,20,9,23,28,5,19,18,20,22,5,22,21,15,7,20,27,20,25,26,39,12,11,35,13,23,34,18,18,24,20,25,6,19,10,26,4
66,11,34,28,11,12,43,22,21,23,26,17,14,9,42,29,17,17,24,19,28,21,33,6,38,32,20,28,33,22,24,26,28,29,18,18,35,10,46,22,18,41,26,26,23,13,29,25,20,16,25,30,13,45,28,31,22,17,21,22,30,19,24,14,21,28,0,20,20,24,20,32,3,37,29,12,39,29,27,22,24,25,28,24,18,21,21,34,45,21,32,30,29,46,23,23,19,18,48,17,26,18,23,28,36,19,24,27,30,35,22,39,22,23,26,19,17,29,17,27,25,27,47,34,26,15,22,26,22,18,19,27,27,9,43,18,17,19,29,26,19,15,24,25,29,22,28,18,18,26,27,12,14,48,33,33,20,22,23,22,12,10,36,20,2,29,33,25,29,8,29,32,28,22,34,8,1,46,34,15,16,21,20,30,22,14,25,22,28,19,11,21,22,17,29,20,32
67,14,12,20,14,14,24,14,13,4,11,16,29,14,21,16,4,16,4,20,6,4,12,23,16,12,2,16,12,9,14,8,8,9,9,16,17,29,28,10,10,22,10,26,14,14,8,5,13,16,5,10,20,24,8,9,3,16,0,19,30,20,18,12,0,12,20,0,8,11,4,11,21,20,9,15,21,10,10,14,6,13,8,5,6,0,2,16,25,8,15,10,10,28,14,8,2,2,29,19,8,10,23,8,17,4,4,8,11,14,3,18,6,4,12,14,17,30,15,8,12,10,29,16,8,22,2,6,9,11,4,6,6,15,23,4,8,12,10,6,13,14,8,11,9,3,22,5,8,9,9,15,12,26,13,14,2,8,4,2,18,17,17,16,22,16,29,10,8,13,17,12,9,25,14,17,20,29,15,17,31,4,2,27,3,16,27,11,7,16,14,16,12,12,10,19,13
