Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
50,10,1,25,0,17,8,14,4,4,8,8,2,5,5,6,3,8,4,6,7,3,7,10,14,6,9,7,5,12,6,16,5,18,5,4,8,2,10,20,1,11,2,18,16,28,10,16,8,9,0,17,5,11,1,17,14,18,6,4,4,6,9,8,14,2,2,8,11,9,24,8,5,27,4,13,11,10,5,6,6,10,11,25,8,8,13,3,6,5,9,4,15,9,13,5,7,5,16,4,30,24,6,7,8,1,19,10,26,17,14,21,17,8,21,14,17,7,9,2,4,19,10,22,8,10,7,7,6,14,26,8,24,7,6,10,13
51,24,18,8,18,32,24,3,16,19,23,23,18,18,14,16,16,18,13,13,15,16,11,25,4,12,24,16,20,28,22,34,19,35,19,16,22,17,25,24,18,14,18,31,10,12,26,31,22,24,17,0,19,16,17,4,5,2,23,20,16,16,24,24,3,19,17,24,8,15,37,17,18,12,16,15,28,8,13,22,21,24,26,39,22,24,13,19,24,19,25,15,28,24,27,16,24,16,5,18,37,22,23,21,22,18,2,7,20,21,5,36,31,23,24,5,34,22,24,18,16,24,25,36,23,26,24,22,21,5,14,24,39,22,16,27,30
52,5,4,29,5,14,10,18,5,4,4,10,4,3,10,10,4,5,8,10,5,7,12,6,18,10,5,5,7,8,2,19,5,20,0,5,7,7,5,17,4,15,4,12,20,32,6,10,4,5,5,19,0,15,4,16,18,20,9,7,5,10,4,4,18,4,6,6,12,13,18,12,3,31,5,17,14,13,10,2,8,5,6,20,8,5,19,4,9,2,5,5,14,5,8,10,10,8,15,2,28,27,9,4,5,4,18,15,23,21,19,23,12,10,18,16,20,6,4,3,8,17,5,18,6,6,9,3,5,19,30,6,25,4,11,12,16
53,20,12,23,11,28,13,13,11,15,18,18,13,13,6,5,12,12,8,6,11,8,4,21,11,6,19,11,14,23,17,18,15,25,16,11,17,9,19,19,12,3,12,28,6,18,20,25,18,19,11,16,15,0,11,16,10,17,16,13,10,5,20,18,12,12,9,18,9,2,33,4,13,18,10,2,12,8,6,16,15,20,22,34,17,18,3,14,14,15,20,10,22,20,24,6,9,7,15,14,30,12,12,18,17,12,18,8,23,7,11,23,28,17,20,10,24,17,18,13,8,18,19,34,19,21,12,16,17,10,15,18,24,17,5,12,16
54,9,1,25,1,17,8,15,4,4,7,8,2,5,6,6,3,8,5,6,8,3,7,10,14,6,9,7,5,12,6,16,4,18,4,4,8,2,9,20,1,12,1,17,15,28,10,15,8,8,1,17,4,11,0,17,13,19,6,4,4,6,8,8,15,2,2,8,10,10,23,8,5,27,4,12,11,10,6,6,5,9,11,25,7,8,14,3,6,5,9,4,16,9,12,6,7,5,16,3,31,22,7,6,7,1,18,10,26,17,14,20,16,8,22,13,16,6,8,2,4,20,9,22,8,10,7,6,6,14,27,8,22,7,6,10,14
55,21,17,11,17,30,24,3,14,18,21,24,18,15,14,15,14,14,13,12,13,17,12,24,4,12,22,12,22,25,19,32,20,33,17,14,20,16,21,20,18,13,17,29,10,15,22,28,20,22,17,4,16,16,17,0,5,2,22,22,14,15,20,20,3,18,16,20,7,16,36,17,15,14,14,15,27,8,12,19,22,22,24,36,22,21,12,18,24,17,22,14,25,22,25,15,24,16,2,16,32,20,23,18,19,18,2,8,17,23,5,36,29,25,20,5,35,19,21,15,16,19,20,36,21,23,24,19,20,5,14,20,39,20,16,28,29
56,23,15,13,14,30,19,2,14,18,22,21,16,16,10,10,15,16,11,9,14,12,7,24,1,9,22,14,18,25,20,30,18,30,18,14,20,12,23,22,14,8,15,30,5,13,24,30,20,22,14,5,18,10,13,5,0,6,19,17,13,10,22,21,2,15,12,22,7,12,36,12,16,13,14,10,24,5,8,19,18,24,24,39,21,21,8,16,19,17,23,13,25,21,27,10,19,12,4,16,35,17,18,20,19,15,7,4,19,17,1,32,29,20,23,1,30,20,23,16,12,22,24,36,22,25,18,19,20,0,12,22,36,20,11,22,25
57,24,17,9,17,30,24,4,15,18,23,23,19,16,15,17,14,16,14,14,15,17,13,25,6,13,22,14,22,26,20,33,19,36,18,14,23,18,23,21,17,13,19,30,10,14,25,30,22,21,18,2,20,17,19,2,6,0,22,22,14,16,23,22,4,20,17,23,7,17,38,17,17,13,14,17,29,9,13,20,22,24,24,38,23,22,14,18,24,18,22,15,25,23,27,16,24,17,4,17,34,22,25,21,21,19,1,8,18,22,6,37,31,25,22,6,35,21,22,16,17,21,24,36,22,24,24,21,21,6,16,21,41,22,18,28,30
58,7,6,30,6,14,3,21,9,4,8,3,4,10,10,10,8,13,10,11,13,7,12,7,19,11,5,13,2,14,8,11,4,12,8,9,4,7,7,25,6,15,6,13,19,32,6,11,8,4,6,23,9,16,6,22,19,22,0,2,9,10,10,13,20,4,7,4,16,13,20,12,10,32,9,16,11,15,11,8,1,6,6,20,4,4,18,5,2,11,6,9,22,4,15,10,6,9,21,8,36,27,3,4,12,6,24,15,30,22,19,22,12,3,26,18,12,4,9,8,8,25,7,18,4,6,4,5,4,18,31,4,18,5,10,7,8
59,7,4,28,4,15,4,18,8,3,7,6,3,9,8,8,7,11,9,9,11,5,10,9,17,9,7,12,2,13,6,12,3,14,7,7,6,5,7,23,4,13,4,14,17,29,8,12,7,7,4,20,7,13,4,22,17,22,2,0,7,8,8,11,19,3,5,6,14,11,22,10,9,28,8,14,8,14,9,6,3,7,8,23,6,6,16,4,3,9,7,8,19,6,14,7,5,6,20,6,35,26,3,4,12,4,23,14,30,20,17,20,14,5,26,17,13,5,7,7,6,24,7,20,6,8,3,4,4,17,28,6,18,5,8,6,10
60,9,4,24,4,17,11,14,0,5,8,10,5,3,6,6,1,4,4,6,4,3,7,11,14,5,9,4,8,12,6,18,5,20,5,0,8,3,9,17,4,11,4,17,15,28,10,15,8,9,4,16,5,10,4,14,13,14,9,7,0,6,8,8,14,5,3,8,8,9,24,7,2,28,0,12,14,10,5,6,9,10,11,24,9,9,14,4,10,4,10,0,13,8,13,5,10,4,13,4,27,22,10,6,7,4,15,10,23,17,14,23,16,11,18,13,20,7,9,2,4,17,9,22,8,10,10,6,6,13,26,8,25,7,6,13,17
61,15,7,23,6,24,9,13,6,10,14,14,8,8,1,0,7,8,3,3,6,4,5,17,11,4,14,6,10,18,11,17,10,20,10,6,13,4,15,19,7,5,7,23,10,22,15,21,14,14,6,16,10,5,6,15,10,16,10,8,6,0,14,13,13,7,4,14,10,3,30,2,8,22,6,6,12,8,3,12,11,16,16,31,14,14,8,9,9,10,16,6,18,15,18,1,8,2,14,9,31,16,8,12,12,7,18,8,24,12,11,21,22,12,20,11,19,12,14,8,2,18,15,27,13,16,8,12,12,11,19,14,25,13,1,11,15
62,3,8,31,9,11,11,22,9,6,2,12,7,6,14,14,8,6,12,14,8,10,14,3,22,14,5,8,8,5,3,20,6,22,4,8,9,10,3,16,8,20,7,9,24,36,8,7,2,6,9,24,4,20,8,20,22,23,10,8,8,14,0,3,22,7,10,8,15,18,15,15,6,36,9,20,15,18,13,3,9,5,7,16,10,6,22,6,11,4,5,8,12,6,5,14,11,13,18,5,28,32,11,6,4,7,23,18,20,25,23,27,13,12,18,20,21,7,1,6,13,15,4,15,8,5,11,5,7,23,34,8,25,6,14,13,17
63,6,7,32,8,14,14,22,8,8,4,14,9,6,14,14,7,6,11,13,8,10,14,6,20,13,8,8,12,5,6,22,9,23,4,8,11,10,6,13,8,19,8,11,24,34,10,7,5,9,8,24,4,18,8,20,21,22,13,11,8,13,3,0,22,9,10,10,15,16,16,16,6,33,8,20,18,16,13,5,12,7,9,18,12,9,22,8,14,4,8,8,9,9,5,13,14,12,18,6,24,29,14,9,2,8,23,18,19,25,23,28,16,14,15,20,23,10,4,6,12,13,6,14,11,8,14,8,10,22,34,10,30,8,14,16,20
64,22,15,10,15,30,21,0,14,17,21,21,17,16,12,14,15,16,10,10,14,14,9,23,2,10,24,14,19,25,20,29,18,30,18,14,22,14,22,22,15,10,15,30,8,13,23,28,22,21,14,3,18,12,15,3,2,4,20,19,14,13,22,22,0,15,14,22,8,13,37,14,16,14,14,12,26,5,10,20,20,24,24,37,21,23,10,17,20,18,22,14,25,23,25,12,20,14,4,17,32,20,22,19,20,16,4,5,19,19,2,35,31,22,22,3,32,22,23,16,14,21,22,36,22,24,21,20,21,2,12,21,37,20,14,24,29
65,8,2,26,2,15,6,16,5,2,7,6,0,7,7,8,5,9,6,7,8,4,8,9,14,7,8,9,3,11,4,15,3,16,4,5,6,4,8,22,2,12,1,16,17,28,8,14,6,8,2,19,4,12,2,18,15,20,4,3,5,7,7,9,15,0,4,7,12,11,22,9,6,28,5,13,10,11,7,5,4,8,9,24,6,7,15,2,6,7,8,5,17,7,11,7,6,6,18,4,31,24,5,5,9,1,21,12,27,19,15,18,14,6,23,15,16,6,7,4,6,21,8,22,7,9,6,5,5,15,26,7,22,6,8,8,12
66,11,3,23,2,19,8,13,3,6,10,10,4,4,4,4,3,7,4,4,7,1,5,12,12,4,11,7,6,14,8,17,6,18,7,3,9,0,11,20,3,9,3,19,14,25,12,16,10,10,2,17,6,9,2,16,12,17,7,5,3,4,10,10,14,4,0,10,10,7,25,6,4,26,3,10,12,9,4,8,7,11,12,27,10,10,12,6,7,6,12,3,16,10,14,4,8,3,15,6,31,20,8,8,8,3,19,10,24,16,12,20,18,9,20,12,19,9,10,4,2,19,12,23,10,12,8,8,8,12,24,10,22,9,4,10,14
67,4,8,32,8,9,6,22,8,5,6,4,7,8,13,14,8,10,11,14,10,11,16,5,21,13,3,10,4,12,5,13,4,14,6,9,1,10,5,23,7,19,7,9,22,34,2,8,6,1,8,24,6,18,8,20,22,23,4,6,8,14,8,10,22,7,10,0,14,16,16,16,8,35,8,20,13,17,13,5,4,3,3,18,2,1,21,5,5,8,3,9,19,1,12,13,10,12,18,5,32,29,7,2,10,7,22,17,28,25,23,25,9,5,24,21,14,2,7,6,12,24,4,15,1,3,7,3,2,22,34,1,20,2,13,10,10
68,15,12,18,11,24,17,8,7,13,14,18,13,8,9,10,8,9,7,6,7,10,6,18,7,6,16,7,16,18,13,27,13,27,11,7,14,10,16,15,11,7,12,24,9,20,17,22,15,15,11,8,12,9,10,7,7,7,16,14,8,10,15,15,8,12,10,14,0,10,29,10,9,21,8,9,21,3,7,13,16,16,17,30,15,15,7,12,17,11,16,8,18,16,18,9,18,10,6,10,28,16,16,14,12,12,8,3,14,16,7,31,23,18,15,7,29,13,16,8,9,15,16,28,16,17,17,13,13,8,18,15,33,13,10,21,25
69,17,10,23,9,25,12,13,9,13,16,16,10,12,4,4,10,11,6,4,9,7,5,18,11,4,18,9,13,21,15,17,13,23,14,9,16,7,18,20,10,3,11,25,6,19,18,23,17,18,9,15,13,2,10,16,12,17,13,11,9,3,18,16,13,11,7,16,10,0,31,2,12,20,9,4,12,8,4,15,13,18,18,34,17,16,5,12,12,13,18,9,20,18,21,4,9,5,14,12,30,13,10,15,16,10,18,9,24,9,12,22,24,16,19,11,22,15,17,10,6,19,18,32,16,20,10,15,16,12,16,16,24,16,3,11,15
70,15,22,47,22,6,22,38,24,20,16,16,21,21,29,30,23,21,27,27,24,25,29,13,36,29,14,22,18,11,17,18,19,16,19,22,15,25,14,22,23,33,22,7,39,51,14,8,16,15,24,37,18,33,23,36,36,38,20,22,24,30,15,16,37,22,25,16,29,31,0,31,22,48,23,35,28,33,29,17,18,14,14,9,16,14,38,20,20,19,15,24,18,15,11,28,26,27,34,19,34,46,21,16,18,22,36,31,28,41,36,41,8,16,23,37,15,17,15,20,26,22,14,4,16,14,21,17,18,35,46,15,23,17,29,24,27
71,17,9,24,8,25,10,14,8,11,15,14,10,10,3,2,9,10,5,4,8,6,6,19,12,4,16,8,12,20,13,16,12,20,13,7,15,6,17,20,8,4,9,23,8,20,18,23,15,16,8,17,12,4,8,17,12,17,12,10,7,2,15,16,14,9,6,16,10,2,31,0,10,21,7,4,12,9,4,14,12,16,18,31,15,16,6,11,11,12,17,7,20,16,20,3,7,4,15,11,30,15,9,14,14,9,18,9,25,10,12,21,24,14,20,12,20,14,15,9,4,19,16,29,16,18,9,14,14,12,18,15,24,14,2,10,14
72,7,6,25,5,16,12,16,2,7,6,12,6,0,8,8,2,3,6,8,2,5,10,8,15,7,7,2,10,11,4,20,7,22,3,3,10,4,7,15,5,14,6,15,17,29,8,13,6,7,5,18,3,13,5,15,16,17,10,9,2,8,6,6,16,6,4,8,9,12,22,10,0,30,3,15,15,11,8,4,10,8,9,24,10,7,15,6,12,2,8,3,12,7,10,8,12,7,12,3,26,24,11,6,4,6,16,12,21,18,16,26,14,12,17,14,22,8,6,3,6,16,7,19,9,8,12,6,8,16,27,9,26,6,8,14,18
73,35,29,4,27,43,29,14,26,31,35,33,30,30,23,20,29,30,24,21,27,24,20,38,14,22,36,26,32,39,32,35,33,40,31,28,35,26,35,34,27,16,27,42,13,0,38,40,36,37,27,12,31,18,27,14,13,13,32,28,28,22,36,33,14,28,26,35,21,20,48,21,30,0,28,19,32,18,23,32,33,36,38,52,35,36,15,29,30,32,37,27,41,36,38,21,27,24,17,31,47,25,29,34,34,30,13,17,32,25,14,41,42,33,36,14,40,34,37,29,22,34,37,47,34,38,27,33,32,14,18,35,43,34,21,30,34
74,10,4,23,4,17,11,14,0,5,8,11,5,2,5,6,1,4,4,6,4,3,7,10,13,6,9,4,8,13,6,18,5,20,5,0,8,3,9,18,4,11,4,18,15,26,10,16,8,9,4,16,5,10,4,14,14,14,9,8,0,6,9,8,14,5,3,8,8,9,23,7,3,28,0,12,14,9,6,7,8,9,11,25,8,8,13,4,10,5,9,0,13,9,13,6,11,4,13,4,27,24,10,6,6,4,15,10,22,17,15,24,16,11,18,12,20,7,9,2,4,17,9,23,8,10,10,6,6,14,26,8,26,7,6,13,17
75,21,14,23,12,29,15,13,12,15,20,19,13,14,7,6,13,14,9,7,12,10,6,22,11,7,21,12,16,24,17,18,16,25,16,12,20,10,21,20,13,3,14,30,6,19,23,28,21,21,13,15,17,2,12,15,10,17,16,14,12,6,20,20,12,13,10,20,9,4,35,4,15,19,12,0,13,8,7,17,16,20,22,36,20,19,3,15,14,17,20,12,24,20,23,7,10,8,14,15,30,12,14,18,18,14,17,8,24,7,11,22,28,18,20,10,24,19,20,14,8,20,22,32,20,21,13,17,18,10,14,19,23,18,6,11,16
76,15,10,34,10,23,8,26,14,10,13,13,10,16,14,12,14,17,15,15,18,12,17,16,24,16,14,18,10,19,13,12,10,20,14,15,14,12,15,30,11,15,11,22,18,30,16,20,14,15,11,28,14,12,11,27,24,29,11,8,14,12,15,18,26,10,12,13,21,12,28,12,15,32,14,13,0,20,16,13,10,15,16,32,14,15,16,10,9,15,14,15,26,14,20,14,4,12,26,13,40,17,7,13,18,11,28,21,36,11,24,12,22,13,33,22,19,13,14,14,12,30,16,27,14,16,7,13,12,22,19,14,12,13,12,4,3
77,18,10,14,10,26,16,5,9,13,16,16,12,12,8,8,10,12,6,5,10,9,4,19,4,5,17,9,13,22,15,26,13,26,14,9,16,9,18,17,10,5,11,27,7,18,18,23,16,18,10,8,13,8,10,8,5,9,15,14,10,8,18,16,5,11,9,17,3,8,33,9,11,18,9,8,20,0,5,14,15,19,19,33,17,17,5,13,16,14,18,9,21,16,21,8,16,10,7,12,30,14,16,16,15,10,9,1,16,15,5,30,26,16,18,4,27,16,18,10,8,17,18,31,17,20,17,16,15,5,17,18,30,16,9,18,22
78,15,6,19,6,23,12,10,6,10,14,13,7,8,3,3,6,8,2,0,6,4,2,15,8,0,14,6,10,17,12,20,10,22,10,6,13,4,14,16,6,6,7,21,10,23,16,20,13,14,5,13,10,6,6,12,8,13,11,9,5,3,13,13,10,7,4,13,7,4,29,4,8,23,6,7,16,5,0,12,10,15,15,31,13,14,8,9,12,10,14,5,17,14,17,3,11,5,11,8,26,18,11,12,11,6,15,6,20,12,9,26,21,12,17,8,21,12,14,7,4,15,14,29,13,15,12,12,11,9,20,14,28,12,4,13,19
79,3,6,29,6,11,9,21,6,4,2,9,5,4,11,12,6,6,10,12,6,8,14,4,19,12,3,6,6,8,1,17,4,19,2,7,6,8,3,19,6,17,6,10,22,32,5,8,2,4,6,22,2,16,6,19,19,20,8,6,6,12,3,5,20,5,8,5,13,15,17,14,4,32,7,17,13,14,12,0,7,4,4,18,7,4,21,4,8,3,3,6,14,4,8,11,9,10,16,3,30,29,8,3,6,6,20,16,24,22,21,24,10,10,20,18,18,4,3,4,10,18,3,17,6,4,9,2,4,19,31,6,24,4,12,11,16
80,7,5,28,5,13,3,19,8,4,8,3,4,10,10,11,8,13,9,10,12,7,11,7,18,10,5,12,1,14,7,11,4,12,8,9,3,7,6,25,5,16,5,13,20,32,6,11,8,4,6,21,8,15,5,22,18,22,1,3,9,11,9,12,20,4,7,4,16,13,18,12,10,33,8,16,10,15,10,7,0,5,6,20,3,4,19,4,2,10,5,9,21,4,14,10,6,9,21,7,36,26,3,4,12,5,25,15,30,22,19,23,12,3,26,17,13,3,9,8,9,24,7,18,4,6,4,5,3,18,31,4,18,4,10,6,8
81,2,9,32,10,8,8,24,10,6,3,7,8,8,14,15,8,8,13,14,9,11,15,2,22,15,1,10,5,10,4,16,5,17,5,9,4,12,2,20,9,20,8,8,25,35,3,6,3,2,10,24,5,20,9,22,24,24,6,7,10,16,5,7,24,8,11,3,16,18,14,16,8,36,9,20,15,19,15,4,5,0,2,16,5,2,22,6,6,5,1,10,17,2,9,15,11,13,20,6,32,31,8,3,8,8,23,18,25,26,23,25,8,7,22,23,17,3,4,8,13,20,2,14,4,1,8,4,3,22,33,4,22,3,14,12,13
82,3,9,33,11,7,8,24,10,7,5,5,9,9,15,16,9,9,14,16,11,13,17,4,22,15,2,10,7,10,5,14,6,16,6,11,3,12,3,22,10,22,9,7,25,37,1,7,5,2,11,26,6,22,11,24,24,24,6,8,11,16,7,9,24,9,12,3,17,18,14,18,9,38,11,22,16,19,15,4,6,2,0,15,3,2,24,8,8,7,2,11,18,2,12,16,13,15,20,7,32,34,9,4,9,10,25,20,28,27,24,29,7,6,23,24,15,4,5,9,14,21,3,12,2,2,9,4,4,24,35,3,21,4,17,12,14
83,16,23,48,25,8,24,38,26,21,17,17,23,23,32,32,25,23,29,30,24,28,33,14,38,30,16,26,20,20,20,20,20,11,20,24,18,28,16,31,24,36,24,8,40,52,16,16,17,17,25,39,20,34,25,36,39,38,20,23,24,31,16,18,37,24,27,18,30,34,9,31,24,52,25,36,32,33,31,18,20,16,15,0,17,16,38,22,22,20,16,26,28,18,19,30,27,30,34,21,39,48,23,20,19,24,37,35,36,40,39,43,9,19,30,36,12,19,18,22,30,31,16,12,17,15,24,19,18,36,48,17,26,18,32,28,29
84,6,7,30,8,10,6,22,8,4,8,2,6,10,12,14,8,12,12,12,12,10,14,7,21,13,4,12,4,13,6,11,4,12,8,8,1,9,6,26,7,19,6,10,23,34,3,10,8,3,8,22,8,17,7,22,21,23,4,6,9,14,10,12,21,6,10,2,15,17,16,15,10,35,8,20,14,17,13,7,3,5,3,17,0,3,21,5,4,10,5,8,20,3,14,12,10,11,21,7,36,31,6,4,12,7,23,16,30,24,21,24,9,3,26,20,13,3,8,7,12,24,6,15,2,5,6,5,3,20,31,2,17,4,14,10,10
85,4,8,31,8,9,7,22,9,5,5,5,7,7,13,14,8,9,12,13,9,11,15,4,21,14,2,9,4,11,4,13,4,15,5,8,2,10,4,22,8,19,7,9,24,36,2,8,5,0,8,24,5,18,8,21,21,22,4,6,9,14,6,9,23,7,10,1,15,16,14,16,7,36,8,19,15,17,14,4,4,2,2,16,3,0,21,5,6,7,2,9,19,0,12,14,10,12,18,5,33,31,7,2,9,8,22,18,28,24,22,26,8,6,23,20,15,2,6,6,12,22,4,15,2,2,7,2,2,21,34,2,20,2,14,11,12
86,22,14,20,13,30,16,10,14,18,20,21,15,16,9,8,15,16,10,9,14,11,7,24,8,9,22,14,18,25,20,20,18,28,18,13,21,12,23,22,15,3,15,30,3,16,22,28,22,22,13,13,19,3,14,12,8,14,18,16,14,8,22,22,10,15,12,21,7,5,38,6,15,15,13,3,16,5,8,21,19,22,24,38,21,21,0,17,16,18,23,13,24,23,25,8,12,10,11,17,34,10,14,19,20,15,15,5,21,10,8,24,30,21,22,7,27,21,23,16,10,22,22,35,22,24,15,19,20,8,12,21,28,20,8,15,18
87,6,2,26,3,15,7,17,4,1,5,6,2,6,9,9,4,8,7,9,8,6,10,8,17,8,6,8,4,10,3,15,2,17,4,4,5,5,6,20,2,15,2,13,18,30,7,12,5,6,3,19,4,14,3,18,16,18,5,4,4,9,6,8,17,2,6,5,12,12,20,11,6,29,4,15,10,13,9,4,4,6,8,22,5,5,17,0,6,6,6,4,16,6,10,8,6,8,18,3,32,25,6,3,8,2,20,13,27,19,18,20,14,6,22,16,17,4,6,3,7,21,6,20,5,7,6,4,3,18,30,5,23,4,9,9,13
88,7,7,29,6,14,2,20,10,5,9,4,5,12,9,10,9,14,11,11,13,7,12,8,20,11,6,13,2,15,8,10,4,12,9,10,4,8,8,28,7,14,6,14,18,30,7,12,9,6,6,24,9,14,6,24,19,24,2,3,10,9,11,14,20,6,7,5,17,12,20,11,12,30,10,14,9,16,12,8,2,6,8,22,4,6,16,6,0,12,6,10,21,6,15,9,6,7,23,9,38,25,2,6,13,6,25,16,33,21,19,20,13,4,27,19,11,4,10,9,8,27,8,19,5,7,2,6,4,18,29,5,17,5,9,5,8
89,5,5,26,5,13,12,18,5,6,4,12,6,2,9,10,4,3,8,10,4,7,11,6,17,10,6,4,10,8,4,20,7,23,2,4,9,6,5,16,5,15,6,12,20,32,8,10,4,7,5,19,2,15,5,17,17,18,11,9,4,10,4,4,18,7,6,8,11,13,19,12,2,32,5,17,15,14,10,3,10,5,7,20,10,7,18,6,12,0,5,4,12,7,9,10,12,9,15,3,25,28,10,6,3,5,18,14,21,21,19,26,14,12,16,17,22,7,5,3,8,15,5,19,8,6,12,5,8,18,29,9,26,6,10,14,18
90,2,9,31,9,8,8,24,9,6,3,6,8,7,14,15,9,8,13,14,10,12,16,2,22,15,1,9,6,9,4,16,5,16,5,9,4,11,2,20,8,21,8,8,24,36,3,6,4,2,9,25,5,20,9,22,23,22,6,7,10,16,5,8,22,8,12,3,16,18,15,17,8,37,9,20,14,18,14,3,5,1,2,16,5,2,23,6,6,5,0,10,16,2,10,15,11,13,19,6,30,33,8,3,8,8,24,18,26,26,24,27,8,7,22,21,16,3,4,7,12,19,2,13,3,2,8,3,3,24,35,4,23,3,14,12,12
91,10,4,23,4,18,10,14,0,5,8,11,5,3,5,6,1,4,4,5,4,3,7,11,12,5,9,4,8,12,6,20,6,21,5,0,8,3,9,17,4,11,4,17,15,27,10,16,8,8,4,15,5,10,4,14,13,15,9,8,0,6,8,8,14,5,3,9,8,9,24,7,3,27,0,12,15,9,5,6,9,10,11,26,8,9,13,4,10,4,10,0,13,8,12,6,10,4,12,4,28,23,10,7,6,4,15,9,22,18,14,23,16,10,18,12,20,7,9,2,4,16,9,22,9,10,10,6,6,13,26,8,26,7,6,13,18
92,15,16,37,16,23,23,25,13,18,14,24,18,12,17,18,13,10,16,18,12,16,18,15,24,17,17,12,21,8,14,32,18,32,14,12,20,15,16,4,16,22,16,20,27,39,19,12,13,17,15,28,14,22,16,25,25,25,22,19,13,18,12,9,25,17,16,19,18,20,18,20,12,41,13,24,26,21,17,14,21,17,18,28,20,19,24,16,21,12,16,13,0,18,7,17,22,16,22,14,15,33,22,17,9,17,27,21,10,29,26,35,24,23,5,24,33,19,13,14,16,4,14,15,20,17,22,16,18,27,36,19,40,17,18,26,31
93,4,8,30,9,9,7,22,8,5,5,5,7,7,13,14,8,9,12,14,9,12,15,4,22,13,2,10,5,11,4,14,4,16,5,9,2,10,4,23,8,20,7,8,24,35,2,8,5,0,9,24,5,20,9,22,21,23,4,6,8,15,6,9,23,7,10,1,16,18,15,16,7,36,9,20,14,16,14,4,4,2,2,18,3,0,23,6,6,7,2,8,18,0,12,14,11,13,18,5,33,30,7,2,10,8,23,18,28,26,22,25,8,6,24,20,15,2,6,7,12,21,4,14,2,2,8,3,3,22,33,2,20,2,14,11,12
94,8,12,35,13,15,17,28,14,11,7,16,11,10,17,18,12,11,17,18,13,15,19,8,25,17,10,13,14,1,8,24,11,26,8,13,13,14,8,11,12,24,12,13,26,37,12,4,6,11,13,27,8,24,12,25,27,27,15,14,13,18,5,5,25,11,14,12,18,21,11,20,10,38,13,23,20,21,17,8,14,9,12,19,14,12,25,10,15,9,10,12,7,12,0,18,15,16,22,9,22,33,15,11,7,12,28,23,16,30,27,28,18,16,12,26,27,12,6,10,16,11,8,10,13,10,17,9,12,28,39,12,32,10,19,18,23
95,15,6,21,5,24,9,12,5,9,14,13,7,8,0,1,6,8,2,3,6,3,4,15,10,3,14,5,10,18,12,18,10,19,10,5,13,4,14,17,6,6,6,22,10,22,16,20,13,13,5,16,10,6,6,15,10,16,10,7,5,1,14,13,12,7,4,13,9,4,28,3,8,21,6,7,14,8,3,11,10,15,16,30,12,14,8,8,9,10,15,6,17,14,18,0,9,2,14,8,28,18,9,12,11,6,16,8,23,12,11,24,22,12,19,10,19,12,13,7,2,17,15,28,14,15,10,12,12,10,20,13,24,12,2,12,16
96,11,7,31,7,20,4,22,10,6,10,9,6,12,9,9,10,14,11,11,15,8,12,12,20,12,11,14,6,15,8,9,7,16,9,10,10,8,11,26,7,11,7,18,15,27,12,17,10,10,7,24,10,9,7,24,19,24,6,5,10,8,11,14,20,6,8,10,18,9,26,7,12,27,11,10,4,16,11,9,6,11,13,27,10,10,12,6,6,12,11,10,22,11,15,9,0,7,22,9,36,22,4,8,14,6,24,16,32,15,19,15,19,9,27,20,15,9,10,9,8,26,11,24,10,12,4,8,8,20,24,10,16,8,8,3,7
97,13,6,25,4,21,8,14,4,8,12,11,6,7,2,2,5,7,4,4,7,2,6,14,12,5,13,7,8,17,10,16,9,18,9,4,12,3,14,20,5,7,6,21,11,24,14,19,12,13,5,16,8,7,5,16,12,17,9,6,4,2,13,12,14,6,3,12,10,5,27,4,7,24,4,8,12,10,5,10,9,13,15,30,11,12,10,8,7,9,13,4,16,13,16,2,7,0,16,8,30,19,6,10,10,6,18,10,26,14,12,21,20,11,22,12,17,10,13,6,1,20,14,28,12,15,8,11,10,12,22,12,23,11,2,10,14
98,20,16,13,16,28,24,4,13,17,18,23,17,12,13,14,14,13,12,11,10,15,10,21,4,11,20,11,20,23,17,33,18,33,14,12,19,15,19,18,16,11,16,26,9,17,21,26,18,19,16,5,15,15,16,2,4,4,21,20,13,14,18,18,4,18,15,18,6,14,34,15,12,17,13,14,26,7,11,16,21,20,20,34,21,18,11,18,23,15,19,12,22,18,22,14,22,16,0,14,31,20,22,17,16,17,4,6,16,20,4,35,28,23,19,4,34,19,20,13,15,19,20,31,18,20,23,16,18,4,15,20,39,17,15,24,30
99,6,3,28,4,14,9,18,4,4,5,9,4,3,9,9,3,6,7,9,6,6,10,8,17,9,6,6,6,9,3,17,4,19,2,4,6,6,6,18,3,15,3,14,19,30,6,12,5,5,4,18,2,14,3,16,16,17,8,6,4,9,5,6,17,4,6,5,10,12,19,11,3,31,4,15,13,12,8,3,7,6,7,21,7,5,17,3,9,3,6,4,14,5,9,8,9,8,14,0,30,25,9,3,6,3,17,14,24,21,16,22,12,9,20,16,19,5,5,2,8,18,6,19,6,7,9,3,5,17,28,6,25,4,9,12,15
