Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
46,12,16,8,14,8,8,7,10,12,10,8,4,13,17,3,8,20,11,13,8,7,13,14,10,8,11,15,14,11,16,2,25,13,15,8,2,15,14,12,2,2,9,8,9,2,0,14,11,11,20,18,7,8,14,11,16,10,14,13,10,14,10,12,16,14,14,2,16,18,12,14,16,22,2,24,11,8,11,18,13,7,14,9,11,7,8,8,15,8,16,10,10,11,7,14,21,5,9,11,20,12,14,5,21,8,8,10,15,13,8,8,8,14,20,14,5,8,12,8,12,8,13,19,19,9,14,19,7,20,8,13,7,4,6,12,13,8,5,8,14,20,18,20,6,18
47,8,3,8,1,6,11,21,14,2,14,6,17,1,3,12,6,6,15,1,6,7,4,1,5,10,3,2,27,7,3,15,10,1,2,6,14,2,26,25,14,15,5,6,5,15,14,0,9,4,6,16,14,9,1,6,3,14,1,7,5,10,4,2,3,5,1,15,3,15,4,18,3,19,14,11,4,11,3,14,1,20,5,23,22,19,22,21,2,18,3,13,13,10,8,18,7,11,22,10,6,2,11,11,8,8,21,4,2,2,6,12,8,1,8,3,10,21,16,8,4,14,18,15,6,22,5,6,15,6,5,4,22,17,11,26,1,22,9,7,12,6,21,7,15,6
48,8,13,3,9,10,18,12,19,8,20,10,9,10,12,14,4,14,21,9,11,11,10,9,11,17,8,10,17,6,12,11,19,9,11,4,11,11,19,15,10,10,10,11,7,11,11,9,0,10,16,9,6,16,9,7,12,20,9,8,10,6,10,8,12,10,11,13,12,8,11,26,11,11,11,20,11,4,10,7,9,11,10,14,13,11,12,19,10,18,12,20,20,1,15,25,17,6,13,1,15,7,4,6,17,3,12,7,10,8,4,18,15,9,16,10,6,12,22,16,10,5,10,10,14,13,10,15,6,16,5,10,12,9,4,17,8,11,9,2,4,14,30,16,5,16
49,11,6,7,4,3,8,17,10,5,10,3,14,3,7,10,6,9,12,4,3,4,8,4,2,8,6,5,24,10,6,12,14,4,5,6,12,5,25,21,12,12,2,2,4,12,11,4,10,0,10,18,11,6,4,10,6,11,4,10,2,14,1,2,6,8,4,11,6,19,1,15,6,21,12,14,1,8,1,17,3,17,9,20,18,18,17,17,4,14,6,10,10,10,5,16,10,8,18,11,9,5,15,8,10,8,18,4,5,3,6,8,5,4,10,6,7,17,13,6,1,12,16,18,10,18,8,9,13,10,6,4,18,14,8,22,3,18,6,8,15,9,18,10,11,10
50,8,4,15,7,13,14,28,18,8,19,13,25,7,4,19,12,3,19,7,12,13,6,7,11,15,8,5,33,10,5,22,4,7,5,12,21,6,34,30,20,22,12,12,10,21,20,6,16,10,0,18,20,14,7,9,4,18,7,7,11,10,10,8,4,6,6,20,5,20,9,22,5,16,22,4,8,18,9,16,7,26,6,28,30,26,28,26,6,23,5,20,20,16,14,23,3,18,28,16,2,9,18,18,1,14,28,10,6,8,12,16,13,7,1,6,16,28,20,13,9,21,24,18,2,28,6,2,23,2,11,8,27,24,18,31,8,28,16,14,18,2,26,2,20,2
51,11,15,12,16,18,25,19,30,14,27,19,16,16,15,21,13,18,29,14,20,20,12,15,19,27,13,16,16,9,16,19,22,15,16,13,20,17,16,22,19,19,18,20,16,19,18,16,9,18,18,0,12,25,16,10,16,30,15,11,19,9,19,17,14,13,17,20,16,2,19,34,13,3,20,22,19,12,19,4,15,18,13,17,10,17,21,27,15,26,16,29,28,9,23,33,19,14,20,8,18,14,5,15,19,11,12,15,15,16,12,26,24,16,19,13,14,12,30,24,18,11,7,1,17,19,14,18,12,18,14,19,15,18,13,15,17,20,18,10,5,18,38,18,14,17
52,13,16,6,15,8,14,7,16,14,17,8,5,14,18,10,9,20,18,14,9,8,15,14,10,14,12,16,13,11,17,6,25,14,16,9,6,16,12,11,7,6,10,9,10,7,7,14,6,11,20,12,0,13,14,13,17,17,14,14,10,12,11,13,17,15,15,9,17,12,12,21,15,15,7,24,12,3,12,11,14,7,16,8,8,6,9,15,15,14,18,17,16,6,12,20,22,4,8,5,20,13,8,4,21,7,7,11,15,13,9,15,12,15,22,16,5,7,18,12,12,2,6,12,20,8,16,20,2,20,10,15,7,6,4,11,14,7,6,7,8,20,24,21,1,20
53,18,11,13,9,6,2,15,4,11,8,6,13,9,9,7,12,12,7,10,6,6,13,9,6,2,12,9,22,16,10,10,16,10,9,12,10,8,22,20,10,9,6,6,9,10,8,9,16,6,14,25,13,0,9,16,10,5,9,16,7,20,6,8,12,14,8,9,10,24,6,9,11,28,10,15,6,12,6,24,9,16,14,17,16,14,16,14,11,12,9,9,9,16,2,10,12,10,17,17,12,11,20,11,14,14,16,9,10,9,12,2,2,10,14,13,10,16,7,1,6,14,19,26,13,17,14,16,13,11,12,6,15,11,12,20,9,15,7,14,20,12,13,12,12,12
54,8,3,8,1,6,11,22,13,2,14,6,17,1,4,12,6,6,16,1,6,7,4,1,4,11,3,2,27,7,3,14,10,1,2,6,14,2,27,24,15,15,5,5,5,14,14,1,9,4,7,16,14,9,0,6,3,13,1,7,5,11,4,2,3,5,1,14,3,16,4,17,3,19,16,10,4,12,4,14,1,20,5,24,22,20,20,20,2,17,3,14,14,10,8,18,8,11,22,10,6,2,12,11,7,8,20,4,2,2,6,12,9,1,7,3,10,21,15,9,3,14,19,16,6,22,5,7,16,6,5,4,21,17,11,25,1,22,10,7,12,6,22,6,14,6
55,2,6,6,6,10,16,18,18,4,20,10,16,6,6,12,4,8,21,6,10,10,3,6,10,17,4,7,23,1,6,12,13,6,7,4,12,7,25,23,12,12,9,10,6,12,11,6,7,10,9,10,13,16,6,0,6,20,6,2,9,5,10,8,5,4,7,12,6,11,9,23,4,13,12,13,10,10,9,8,7,17,4,20,20,18,19,17,5,17,6,20,19,7,14,24,10,8,20,8,8,5,9,8,9,6,19,6,6,6,3,17,15,6,10,4,8,18,21,14,9,11,16,10,8,20,4,8,14,9,4,9,18,14,9,22,7,19,8,5,10,9,26,9,12,8
56,8,2,11,3,9,11,24,13,4,17,10,20,3,1,16,8,3,16,4,9,10,4,3,8,11,5,2,31,7,1,17,8,4,2,8,18,2,30,26,18,17,8,8,8,17,16,3,12,6,4,16,17,10,3,6,0,13,3,7,8,10,6,5,2,5,2,16,1,16,6,18,3,18,17,8,6,14,6,14,3,22,6,26,25,24,23,23,2,19,1,17,16,12,10,17,5,14,24,13,4,5,14,13,5,11,25,7,2,4,8,12,9,3,5,4,14,22,16,8,6,16,22,16,4,26,5,7,18,4,8,4,22,20,14,28,4,24,12,10,14,4,22,4,17,4
57,20,16,17,13,10,3,13,1,15,6,10,12,14,13,8,16,15,4,15,10,10,17,14,10,3,16,14,20,20,14,10,19,15,14,18,10,12,19,16,10,10,11,10,13,10,10,14,20,11,18,30,17,5,13,20,13,0,14,20,11,24,10,12,15,18,13,8,14,29,11,5,15,32,10,19,10,17,10,28,14,13,18,15,21,12,14,12,14,10,13,6,6,20,6,7,16,15,14,20,16,14,24,15,18,18,16,14,14,14,17,2,6,14,18,16,15,16,4,6,10,18,22,30,16,14,19,20,18,16,16,10,14,11,17,17,12,13,12,18,25,16,8,16,16,15
58,8,4,8,1,6,10,20,13,2,13,7,18,1,3,12,6,6,14,1,6,7,4,1,4,10,3,2,27,7,3,14,11,1,2,6,15,2,26,25,14,14,5,6,5,14,14,1,9,4,7,15,14,9,1,6,3,14,0,6,5,10,4,2,3,5,1,14,3,14,4,18,3,19,14,11,4,11,4,14,1,19,5,22,22,20,22,20,2,17,3,13,14,10,8,18,7,11,22,9,6,2,12,10,7,8,21,4,2,2,6,12,9,1,7,4,10,21,16,8,4,14,19,16,6,21,6,6,15,6,5,4,20,16,11,26,1,20,9,7,11,6,22,6,15,6
59,2,6,7,7,10,16,20,20,5,20,10,17,7,6,12,5,7,22,6,10,11,3,6,10,18,4,7,26,2,7,14,11,6,7,5,14,8,26,24,14,14,9,10,6,14,13,7,8,10,7,11,14,16,7,2,7,20,6,0,10,4,10,8,5,2,8,13,7,12,10,25,4,12,14,11,10,10,10,8,7,19,2,23,20,20,20,19,6,18,7,19,20,8,15,24,8,10,21,9,7,6,10,10,8,7,21,7,6,7,5,17,15,7,8,4,9,19,22,15,10,13,17,10,7,20,2,7,14,8,5,10,19,16,10,24,7,21,9,7,10,8,28,8,14,7
60,11,8,7,5,2,8,16,10,5,10,2,13,5,8,8,6,11,12,4,1,2,7,5,1,8,6,6,23,10,7,10,14,4,6,7,10,7,23,21,10,10,1,1,3,10,10,5,10,2,11,19,10,7,5,9,8,11,5,10,0,13,2,4,7,8,6,10,8,17,2,16,6,22,10,16,3,7,2,18,4,16,8,18,18,15,17,16,6,13,8,10,10,10,6,16,12,6,18,10,11,5,14,7,12,7,16,3,6,4,6,9,6,5,12,6,6,17,13,6,2,10,14,18,10,16,8,11,11,12,6,5,16,12,7,20,4,16,5,8,14,11,18,11,10,10
61,3,10,7,11,14,20,18,23,8,24,14,15,11,11,17,7,9,26,10,14,15,7,10,14,22,8,11,24,4,10,14,14,10,11,7,14,11,24,22,14,14,13,14,10,14,14,10,6,14,10,9,12,20,11,5,10,24,10,4,13,0,13,12,9,6,11,16,11,10,14,28,8,8,14,14,14,8,13,6,11,16,6,20,18,16,17,22,10,20,11,23,23,6,18,30,10,10,18,7,9,9,8,10,11,6,18,11,10,10,7,21,19,10,10,8,10,17,26,19,14,11,16,8,9,18,6,10,13,10,9,14,18,14,8,23,12,18,13,6,8,10,33,10,11,10
62,11,6,8,4,3,8,18,10,5,10,3,15,3,6,10,6,9,12,4,2,4,7,4,2,8,6,5,24,10,6,12,14,4,5,6,11,5,24,22,12,12,2,2,4,12,10,4,10,1,10,19,11,6,4,10,6,10,4,10,2,13,0,2,6,8,4,11,6,17,1,15,6,22,12,13,1,8,1,16,4,17,8,20,19,18,18,17,4,14,6,11,10,10,5,14,11,8,18,10,9,5,14,8,11,8,18,4,5,3,6,9,5,4,11,6,7,17,12,6,1,10,15,18,9,19,8,10,12,9,5,4,17,14,8,22,3,17,6,8,14,10,18,10,11,9
63,9,5,6,2,5,9,19,12,4,12,5,16,2,5,12,5,8,14,2,4,6,6,2,3,10,4,3,25,8,5,14,12,2,3,5,13,4,24,23,14,13,4,4,3,14,12,2,8,2,8,17,13,8,2,8,5,12,2,8,4,12,2,0,4,6,3,13,4,17,2,17,4,20,13,12,2,10,2,16,2,18,7,21,20,18,19,18,3,15,4,12,12,8,7,17,9,10,21,9,8,3,13,9,9,7,19,3,3,2,5,10,7,2,8,5,8,18,14,7,2,13,16,17,8,21,6,8,14,8,4,2,20,16,10,23,1,20,8,6,13,8,20,8,13,8
64,6,1,10,3,9,13,22,15,4,16,9,21,3,2,16,8,4,17,3,8,9,3,3,7,12,5,2,28,6,2,17,8,3,2,8,17,3,29,26,17,17,7,8,7,16,16,3,12,6,4,14,17,12,3,5,2,15,3,5,7,9,6,4,0,4,3,16,2,16,6,20,2,17,18,8,6,14,5,12,3,23,4,24,23,23,24,23,2,19,2,16,16,12,10,20,5,13,24,12,4,5,13,14,5,10,23,6,2,4,8,13,10,3,5,2,12,23,18,10,6,16,21,15,4,24,4,5,18,4,8,6,22,20,14,26,3,23,12,10,14,4,24,4,16,4
65,3,4,9,5,9,15,22,17,4,18,9,19,5,5,14,7,5,21,4,8,9,1,5,9,16,4,6,28,4,5,15,10,5,6,6,15,6,27,24,16,16,8,9,6,16,14,5,10,8,6,13,15,14,5,4,5,18,5,2,8,6,8,6,4,0,6,16,5,14,8,23,3,14,15,10,8,13,8,10,6,21,1,24,22,20,22,21,4,18,6,18,18,10,13,24,7,12,22,10,6,4,12,11,6,9,22,5,5,5,6,16,13,5,6,2,10,21,20,14,8,15,19,12,6,23,1,6,17,6,6,9,22,17,12,24,6,22,10,8,12,6,28,6,16,5
66,9,2,10,2,7,10,21,13,3,15,8,19,2,2,14,7,5,14,2,7,8,5,2,6,10,4,1,27,8,2,16,10,2,1,7,15,1,28,24,15,16,6,6,6,15,14,1,11,4,6,17,15,8,1,7,2,13,1,8,6,11,4,3,3,6,0,16,2,16,4,17,4,18,16,9,4,13,4,14,2,21,6,24,22,20,22,21,2,17,2,15,14,10,8,18,6,12,22,11,5,3,12,12,6,10,22,5,1,3,7,11,8,1,7,4,11,22,15,8,4,14,19,16,5,23,6,7,17,6,6,3,22,18,12,25,2,22,10,8,12,6,20,6,16,6
67,14,17,10,14,8,8,7,8,12,8,8,4,14,18,2,9,20,10,14,9,8,15,14,10,8,12,16,12,12,17,2,23,14,16,10,2,16,13,11,3,2,10,9,10,2,2,15,13,11,20,20,9,9,14,12,16,8,14,13,10,16,11,13,16,16,16,0,16,20,12,12,16,24,2,25,12,9,12,20,14,6,16,9,12,6,7,6,15,6,18,8,8,13,8,13,21,7,8,13,21,12,16,7,22,10,9,10,16,13,9,8,8,14,22,15,7,9,10,9,12,10,14,22,20,8,15,20,9,20,10,14,7,4,9,11,14,7,6,11,17,21,16,20,8,20
68,8,2,10,3,9,10,22,13,4,17,9,21,4,1,16,9,3,16,4,8,10,4,3,8,11,5,2,30,7,1,18,8,4,2,8,18,2,28,28,18,18,8,8,7,18,16,3,12,6,5,16,17,10,3,6,1,14,3,7,8,11,6,4,2,5,2,16,0,16,5,18,3,18,17,8,6,14,6,14,3,23,5,25,24,22,23,22,2,20,1,16,17,12,10,19,4,14,24,12,4,5,14,14,5,11,23,6,2,4,8,11,10,3,5,4,13,23,15,8,6,16,21,17,4,24,5,6,18,4,8,4,24,19,14,28,4,23,12,10,15,4,21,4,17,4
69,12,16,11,15,19,25,18,28,13,27,18,17,15,16,21,12,19,31,14,18,19,13,15,18,25,12,15,14,10,16,19,23,15,15,12,19,16,16,22,19,18,18,19,15,19,18,15,8,19,20,2,12,24,16,11,16,29,14,12,17,10,17,17,16,14,16,20,16,0,19,33,15,4,18,23,18,12,18,6,16,18,14,18,9,15,20,25,14,26,16,29,29,8,24,34,20,14,19,8,19,14,4,13,20,11,12,14,16,16,12,25,22,15,22,15,14,12,32,24,18,11,6,2,19,18,15,20,12,20,12,19,15,17,12,14,15,19,18,10,4,19,35,20,13,20
70,11,6,7,4,4,8,19,10,5,12,4,16,3,6,10,7,8,12,4,4,5,8,4,2,8,6,4,25,10,5,12,13,4,4,6,12,4,24,23,12,13,3,3,4,13,12,4,11,1,9,19,12,6,4,9,6,11,4,10,2,14,1,2,6,8,4,12,5,19,0,15,6,22,13,13,1,9,1,16,3,18,8,20,19,18,18,17,5,16,6,12,11,10,5,15,9,9,19,11,8,5,14,8,10,8,20,4,4,4,7,8,6,4,10,6,8,19,12,6,1,12,16,18,9,20,8,10,14,8,6,3,18,14,9,22,3,19,7,9,14,9,18,8,12,8
71,24,19,22,19,15,8,15,5,21,8,14,17,18,18,12,21,20,7,19,15,14,22,18,15,8,21,18,22,24,19,14,23,18,17,21,15,16,22,18,14,15,15,15,17,14,14,18,26,15,22,34,21,9,17,23,18,5,18,25,16,28,15,17,20,23,17,12,18,33,15,0,21,37,14,24,14,22,14,31,18,14,23,18,26,18,15,14,20,12,18,8,8,24,10,4,21,19,16,25,20,18,27,20,22,22,22,18,18,18,21,7,10,18,23,22,19,20,7,10,15,23,27,33,20,17,22,24,20,20,20,15,18,16,22,20,17,16,16,22,28,21,4,20,20,20
72,6,2,10,3,7,12,22,16,3,16,8,20,3,2,14,7,5,18,2,7,8,2,3,6,13,4,3,28,5,3,16,9,2,3,7,16,4,28,26,15,16,6,7,6,16,16,3,11,6,5,13,15,11,3,4,3,15,3,4,6,8,6,4,2,3,4,16,3,15,6,21,0,16,16,9,6,13,6,11,3,22,3,23,24,22,22,20,2,18,3,16,15,10,10,20,6,12,23,11,5,4,13,12,6,10,23,5,2,3,7,13,10,3,6,1,12,22,18,11,6,15,20,14,5,22,3,5,18,5,6,6,22,18,12,26,3,23,10,9,13,5,23,5,16,5
73,10,17,15,19,22,27,23,32,16,32,22,20,19,18,24,15,17,34,17,22,22,15,19,22,27,16,18,18,12,18,22,19,18,18,14,22,19,19,24,22,22,21,21,18,22,22,19,11,21,16,3,15,28,19,13,18,32,19,12,22,8,22,20,17,14,18,24,18,4,22,37,16,0,22,20,22,14,22,5,18,21,14,20,14,20,23,30,18,30,18,32,32,11,27,36,17,18,22,11,16,18,8,17,16,14,16,18,19,18,16,28,26,19,17,15,18,16,33,27,21,14,10,3,16,22,13,16,15,16,17,23,19,21,15,18,18,21,20,13,8,16,41,16,17,17
74,14,18,8,15,9,9,6,10,13,10,8,3,14,17,3,9,20,12,14,9,8,14,15,10,9,13,16,12,12,18,1,24,14,16,10,1,16,13,10,1,1,10,10,10,1,2,14,11,12,22,20,7,10,16,12,17,10,14,14,10,14,12,13,18,15,16,2,17,18,13,14,16,22,0,24,12,7,13,17,14,6,15,8,10,6,6,8,16,8,18,10,10,11,9,16,22,5,8,11,21,13,14,5,21,8,7,11,16,13,9,8,9,15,22,16,5,7,13,10,12,8,13,18,20,8,15,21,7,21,10,15,6,2,7,10,14,7,6,9,15,20,19,20,6,21
75,12,8,19,11,17,18,31,19,12,25,18,28,10,8,22,16,6,22,11,15,17,11,10,15,16,13,9,37,14,8,24,3,11,10,15,24,8,38,36,26,26,16,15,16,26,24,11,20,14,4,22,24,15,10,13,8,19,11,11,16,14,13,12,8,10,9,25,8,23,13,24,9,20,24,0,13,21,13,18,10,30,9,33,30,30,30,32,10,28,8,24,24,20,18,24,5,22,32,19,5,12,21,21,4,19,31,15,9,12,16,18,17,11,4,10,21,30,22,15,13,25,29,22,5,33,10,5,27,4,16,11,31,26,21,34,11,30,20,18,22,5,29,4,25,5
76,11,6,7,4,4,7,18,10,6,12,4,16,3,6,10,6,8,13,4,4,5,7,4,2,8,6,4,24,10,6,13,13,4,4,7,12,4,23,23,12,12,3,3,4,13,11,4,11,1,8,19,12,6,4,10,6,10,4,10,3,14,1,2,6,8,4,12,6,18,1,14,6,22,12,13,0,10,1,18,3,18,8,21,20,18,19,17,5,15,6,11,12,10,6,14,9,9,20,10,9,5,14,8,10,8,20,4,4,3,7,8,5,4,10,6,8,18,12,6,1,12,17,19,8,19,8,10,13,8,6,3,18,15,8,22,3,18,7,8,15,9,18,9,12,8
77,11,15,4,12,7,14,9,17,10,17,8,7,11,14,10,6,17,18,10,8,8,11,12,8,15,9,13,15,8,14,7,21,11,12,6,8,13,16,13,7,7,7,8,7,7,8,11,4,8,18,12,3,12,12,10,14,17,11,10,7,8,8,10,14,13,13,9,14,12,9,22,13,14,7,21,10,0,9,10,11,9,12,11,11,9,10,15,12,14,15,16,16,4,12,22,18,3,11,4,16,9,8,3,18,4,10,8,12,10,6,15,12,11,19,12,3,10,20,12,9,3,8,12,18,11,12,18,4,17,7,11,10,6,1,14,10,10,6,4,7,18,25,18,3,17
78,11,5,8,4,4,8,18,10,5,12,4,16,3,6,10,6,8,12,4,4,5,7,4,2,8,6,4,24,10,6,12,12,4,4,6,12,4,24,23,12,12,3,3,4,12,11,3,10,1,9,19,12,6,4,9,6,10,4,10,2,13,1,2,5,8,4,12,6,18,1,14,6,22,13,13,1,9,0,16,3,18,9,21,20,18,18,17,4,14,6,11,12,10,5,15,10,9,19,10,8,5,15,8,10,8,18,4,4,4,7,8,6,3,10,6,8,18,12,6,1,12,16,18,8,20,9,9,14,9,6,3,18,14,8,22,3,19,7,8,14,9,18,8,12,8
79,8,13,10,14,16,24,18,28,12,28,18,15,14,14,20,11,14,30,14,18,18,10,14,18,24,11,15,19,7,14,16,19,14,14,11,18,15,19,20,17,18,16,18,14,17,18,14,7,17,16,4,11,24,14,8,14,28,14,8,18,6,16,16,12,10,14,20,14,6,16,31,11,5,17,18,18,10,16,0,15,18,10,16,13,14,20,24,13,24,14,26,26,7,22,31,16,12,18,7,15,13,3,12,16,10,13,14,14,14,10,25,22,14,16,11,14,12,30,23,17,9,10,3,14,17,10,15,10,14,12,18,14,17,11,16,15,17,16,10,4,14,35,15,12,14
80,8,3,8,1,6,11,21,13,2,14,6,18,1,3,12,6,6,16,1,6,7,5,1,4,11,4,2,26,8,3,15,11,1,2,6,15,2,26,26,14,15,5,5,4,15,13,1,9,3,7,15,14,9,1,7,3,14,1,7,4,11,4,2,3,6,2,14,3,16,3,18,3,18,14,10,3,11,3,15,0,19,5,23,22,20,20,20,2,16,3,14,14,10,8,17,8,11,23,10,7,2,11,11,8,8,21,4,2,2,6,11,8,1,8,4,10,21,15,8,3,14,19,16,6,22,5,7,16,6,5,4,20,17,10,26,1,20,9,7,11,6,22,7,15,6
81,20,23,12,21,14,14,1,12,19,10,14,3,20,22,8,14,25,12,19,14,13,20,21,16,14,18,22,7,17,23,6,30,19,22,14,6,22,7,5,6,6,15,14,15,6,7,20,11,17,26,18,7,16,20,17,22,13,19,19,16,16,17,18,23,21,21,6,23,18,18,14,22,21,6,30,18,9,18,18,19,0,22,3,11,3,2,8,20,7,24,10,10,11,14,19,27,9,2,11,26,18,14,9,26,12,7,16,22,19,14,13,14,21,27,21,10,7,12,15,18,8,13,18,26,2,21,26,8,27,16,20,4,4,9,5,19,1,11,13,15,25,18,25,6,27
82,3,4,9,5,8,16,22,17,4,18,9,18,6,5,14,7,5,20,4,9,9,2,5,9,16,3,6,29,4,6,16,9,5,6,7,16,6,28,26,16,16,8,9,6,15,14,5,10,9,6,13,16,14,5,4,6,18,5,2,8,6,8,7,4,1,6,16,5,14,8,23,3,14,15,9,8,12,9,10,5,22,0,25,22,22,22,21,4,18,5,18,18,11,13,23,7,12,24,10,6,4,12,12,6,9,22,5,6,6,6,16,13,6,7,2,11,22,20,13,8,15,19,12,5,23,1,6,17,6,6,9,22,18,12,27,6,22,10,8,13,5,26,6,16,6
83,22,26,15,22,17,18,2,15,20,10,17,6,24,26,11,17,28,13,21,18,17,24,22,18,16,22,24,4,20,26,8,32,22,23,17,8,25,4,4,8,9,18,18,18,9,9,23,14,20,28,17,8,17,24,20,26,15,22,23,18,20,20,21,24,24,24,9,25,18,20,18,23,20,8,33,21,11,21,16,23,3,25,0,10,3,4,9,24,8,26,11,12,14,16,21,30,12,2,13,27,20,14,12,30,14,6,20,23,21,18,17,16,22,29,23,13,6,13,18,21,9,12,18,29,2,23,28,8,28,18,22,3,6,12,3,22,2,14,16,13,28,20,28,8,30
84,20,26,14,22,16,17,11,20,20,21,16,9,22,24,14,16,28,23,22,16,15,21,22,18,18,19,23,6,18,24,10,33,22,24,16,10,22,8,14,11,11,17,17,17,11,11,22,13,18,30,10,8,16,22,20,25,21,22,20,18,18,19,20,23,22,22,12,24,9,19,26,24,14,10,30,20,11,20,13,22,11,22,10,0,8,13,18,23,19,26,20,21,13,16,25,30,11,11,12,28,19,11,11,28,14,4,18,23,21,17,18,16,22,28,24,12,4,24,16,20,8,4,11,27,12,23,28,6,28,17,23,7,9,11,7,22,11,14,15,10,28,30,28,8,29
85,19,22,12,20,14,14,4,12,19,13,14,2,19,23,7,14,26,14,20,15,13,20,19,15,14,17,22,8,17,23,6,30,20,21,15,6,21,8,5,6,6,15,14,16,5,7,19,11,18,26,17,6,14,20,18,24,12,20,20,15,16,18,18,23,20,20,6,22,15,18,18,22,20,6,30,18,9,18,14,20,3,22,3,8,0,5,10,22,10,22,12,12,10,14,18,28,9,3,11,26,18,12,9,26,12,4,16,21,18,14,14,14,19,27,21,10,4,14,15,17,6,10,16,27,3,21,26,4,26,15,19,2,3,9,6,20,3,12,13,12,27,20,26,6,26
86,19,24,13,20,16,15,2,14,20,8,15,4,20,25,9,15,28,10,21,16,14,20,20,17,16,19,21,7,18,24,7,30,21,22,16,7,22,6,4,6,7,17,16,16,7,8,22,12,17,28,21,9,16,20,19,23,14,22,20,17,17,18,19,24,22,22,7,23,20,18,15,22,23,6,30,19,10,18,20,20,2,22,4,13,5,0,6,22,5,25,8,8,12,14,19,27,11,2,13,26,20,16,11,28,14,9,17,22,20,16,15,15,21,27,22,11,9,10,16,19,11,14,20,26,2,23,27,9,26,16,21,6,4,11,6,21,2,12,14,17,28,16,26,8,27
87,19,22,16,20,14,14,7,12,18,6,13,10,20,22,7,14,26,8,19,15,14,19,19,16,14,17,22,12,18,23,8,31,20,22,14,8,21,10,5,8,8,14,14,15,8,8,21,19,17,26,27,15,14,20,17,23,12,20,19,16,22,17,18,23,21,21,6,22,25,17,14,20,30,8,32,17,15,17,24,20,8,21,9,18,10,6,0,21,3,22,6,6,18,14,18,26,12,7,19,24,18,22,13,28,15,15,16,20,18,14,13,13,20,26,20,12,15,8,15,18,15,20,26,26,7,20,25,14,27,15,20,12,9,14,11,20,8,10,16,23,24,12,27,13,24
88,7,2,9,2,7,12,21,14,3,14,7,18,2,2,13,7,5,16,2,6,8,3,2,6,12,4,2,28,6,2,15,10,2,2,6,15,2,27,25,15,15,6,7,6,15,15,2,10,4,6,15,15,11,2,5,2,14,2,6,6,10,4,3,2,4,2,15,2,14,5,20,2,18,16,10,5,12,4,13,2,20,4,24,23,22,22,21,0,18,2,15,14,11,10,20,6,12,22,11,6,3,12,12,6,9,23,5,2,2,7,13,10,2,7,2,11,22,17,10,5,15,20,15,5,22,4,5,16,6,6,5,20,19,12,26,2,21,10,9,12,5,22,6,15,5
89,18,20,15,18,11,11,7,10,16,4,11,10,16,21,5,14,22,5,16,12,11,18,17,12,12,15,19,12,18,21,8,26,17,18,14,8,19,11,8,8,8,12,12,12,8,8,18,18,14,23,26,14,12,17,17,19,10,17,18,13,20,14,15,19,18,17,6,20,26,16,12,18,30,8,28,15,14,14,24,16,7,18,8,19,10,5,3,18,0,19,4,4,17,10,15,25,12,7,18,22,15,22,12,24,16,15,13,18,16,14,10,11,18,23,19,12,14,6,12,14,15,20,26,24,7,18,23,14,23,13,16,11,9,13,11,17,8,9,16,22,23,11,24,14,22
90,8,2,10,3,8,11,23,13,4,17,9,20,3,1,16,9,3,14,4,8,10,4,3,8,10,6,2,29,8,1,18,8,4,2,9,17,1,30,28,17,18,8,8,7,18,16,3,12,6,5,16,18,9,3,6,1,13,3,7,8,11,6,4,2,6,2,18,1,16,6,18,3,18,18,8,6,15,6,14,3,24,5,26,26,22,25,22,2,19,0,16,16,12,10,17,4,13,25,13,4,5,14,14,5,11,24,7,2,4,8,11,10,3,5,4,13,23,16,8,6,17,22,16,4,24,6,6,18,4,8,4,22,20,14,27,4,23,11,10,14,4,22,4,17,4
91,21,16,17,14,10,8,10,6,15,1,9,12,13,16,7,17,20,2,13,10,9,18,13,10,8,16,15,14,20,16,10,23,14,15,16,10,15,13,12,10,10,10,10,13,10,10,13,20,10,20,29,17,9,14,20,17,6,13,19,10,23,11,12,16,18,15,8,16,29,12,8,16,32,10,24,11,16,11,26,14,10,18,11,20,12,8,6,15,4,16,0,1,21,7,12,20,14,10,21,20,14,24,14,21,18,16,14,15,13,16,7,7,14,21,17,15,16,3,8,12,18,22,28,18,10,17,20,16,19,16,13,14,11,16,14,14,10,11,18,24,19,9,21,15,20
