Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
40,8,6,3,4,21,5,9,14,7,10,7,5,16,2,12,5,7,12,17,8,12,16,6,4,5,4,10,9,11,6,5,7,12,28,5,12,15,8,6,0,6,12,6,5,10,13,21,15,9,6,8,9,7,6,8,15,15,7,5,13,9,6,5,10,10,6,7,16,6,12,6,9,19,9,14,6,8,7,9,10,18,6,4,5,17,7,6,6,8,9,2,7,4,6,10,17,16,16,5,12,9,12,9,6,14,4,16,10,21,9,12,14,8,12,5,8,9,11,11,4,8,17,4,10,8,11,16,19,11,7,3,8,7,15,8,8,18,12,15,6,18,15,18,8,21,7,18,7,6,14,4,17,4,6,8,5,16,5,3,4,11,12,11,12,13,16,9,8,14
41,5,1,6,10,20,5,9,16,1,4,4,11,18,8,13,3,2,18,17,7,6,16,2,3,11,4,4,4,12,4,3,6,12,22,3,6,14,5,1,6,0,11,2,4,10,6,20,9,9,1,8,4,1,1,2,9,9,1,4,13,3,11,4,4,3,6,2,17,4,12,3,9,18,3,9,2,9,6,10,3,13,1,8,2,18,1,3,1,8,5,8,11,3,2,10,18,11,9,2,12,3,7,9,12,16,4,16,3,23,3,6,13,9,8,4,13,3,6,9,10,9,18,4,9,5,9,15,19,10,2,4,14,11,15,4,6,18,6,10,12,13,16,17,5,14,1,17,14,6,13,3,12,4,2,2,2,16,3,4,3,5,6,5,7,7,10,8,6,9
42,16,11,9,13,12,16,2,26,12,11,8,13,28,12,22,8,13,22,27,17,10,29,9,9,13,8,11,10,22,8,8,7,23,19,9,10,10,16,11,12,11,0,10,7,10,6,30,9,2,10,4,12,12,12,12,10,8,12,8,16,11,14,7,11,11,6,12,20,8,1,8,11,7,11,10,9,19,8,21,11,10,12,10,9,29,12,8,11,20,7,12,19,8,13,10,30,9,9,10,2,11,6,20,14,18,8,7,11,33,10,8,2,19,4,8,16,10,12,21,13,20,29,8,3,16,21,10,7,1,11,11,17,18,26,14,6,28,9,10,14,11,26,28,16,12,11,28,17,18,3,8,9,8,9,10,10,26,9,10,9,10,12,6,10,9,9,9,17,6
43,6,2,6,9,20,6,8,16,3,4,3,10,19,7,13,2,4,18,19,8,7,18,1,2,10,3,5,4,14,3,2,5,13,22,2,7,13,6,2,6,2,10,0,3,8,7,22,10,8,1,6,4,2,2,3,10,10,2,2,12,4,10,3,5,4,4,2,17,3,10,2,8,17,4,10,1,10,5,11,4,14,2,7,1,20,2,2,2,10,4,7,10,2,4,8,20,12,10,1,11,4,8,11,10,14,3,15,4,23,4,7,12,10,7,2,12,4,6,11,9,10,20,2,8,7,10,14,16,9,2,3,13,10,16,5,5,19,6,10,11,14,16,19,6,15,2,20,12,8,12,2,12,2,2,3,1,18,2,2,2,5,7,6,8,8,10,8,8,10
44,9,4,6,10,16,9,6,20,5,4,2,10,21,7,16,2,6,17,21,11,7,20,2,2,10,2,6,4,15,2,1,4,17,22,2,7,10,8,4,5,4,7,3,0,7,7,25,10,6,4,4,5,5,4,5,10,10,5,1,11,4,10,1,5,4,2,5,17,2,8,2,8,13,4,10,2,13,4,14,4,13,4,6,3,21,5,2,4,12,4,7,12,2,6,7,21,12,10,3,8,4,8,14,10,14,2,12,4,26,4,8,9,13,8,1,12,4,7,13,9,12,22,1,5,9,14,11,14,7,5,4,13,12,18,7,3,22,6,10,10,14,20,22,9,15,4,23,12,10,9,2,12,1,2,3,2,19,2,2,2,6,8,6,8,8,11,5,10,10
45,14,10,8,11,11,14,12,24,11,10,8,11,27,11,23,8,12,20,27,16,13,28,8,8,11,7,12,10,22,8,6,4,21,28,8,14,5,14,9,10,10,10,8,7,0,14,31,16,11,9,8,12,10,10,10,17,17,10,6,5,10,13,6,12,10,8,10,11,8,9,7,2,9,10,17,8,19,4,19,11,19,10,6,8,28,10,7,10,18,10,11,16,7,11,1,29,19,16,8,10,11,14,20,11,8,6,7,11,31,11,14,10,19,13,6,14,10,13,20,10,18,26,7,9,15,19,5,12,10,10,10,12,18,25,13,5,28,13,16,12,20,26,27,14,21,10,28,15,15,13,7,20,7,8,10,8,26,7,8,7,12,14,12,14,14,17,2,16,17
46,11,6,12,17,16,11,4,20,6,6,6,16,22,14,19,8,8,26,23,12,5,22,6,9,17,10,6,5,18,6,8,11,18,15,8,5,13,10,6,13,6,6,7,7,14,0,27,4,4,7,8,7,7,7,7,5,4,6,8,18,5,18,8,5,6,7,7,24,6,6,7,14,12,6,5,6,15,10,15,6,6,6,14,8,24,7,7,6,14,4,14,17,8,8,13,25,5,4,8,7,6,1,14,17,21,10,10,6,28,6,2,7,14,3,8,18,5,7,14,16,14,24,8,5,11,15,14,12,5,6,10,20,17,21,9,10,24,4,5,18,7,22,24,10,8,6,24,20,12,7,8,6,9,6,4,8,21,7,9,8,5,7,2,5,4,4,12,12,3
47,16,21,22,20,42,15,30,6,20,21,24,19,6,20,9,22,20,18,4,15,22,4,24,22,19,24,20,22,10,24,25,26,9,23,23,22,36,16,22,21,20,30,22,25,31,27,0,22,29,22,27,19,20,20,19,22,22,21,24,34,22,18,25,22,22,25,19,37,24,33,24,29,38,21,21,23,12,27,12,21,22,21,24,23,4,20,23,22,12,25,20,13,24,20,31,3,22,22,22,34,20,25,12,19,32,24,36,21,2,22,24,34,13,28,23,15,22,20,12,19,12,5,25,28,16,12,35,37,32,21,20,20,13,6,18,28,3,23,23,20,30,6,4,16,24,20,3,15,14,32,24,29,25,23,22,22,6,22,22,24,21,20,26,21,23,23,30,16,29
48,7,9,16,18,19,14,8,16,8,6,9,20,18,17,14,10,8,27,19,9,3,19,9,12,19,13,5,6,14,8,10,14,14,13,10,3,16,7,9,15,9,9,10,10,16,4,22,0,8,9,9,6,8,9,8,1,2,8,10,22,7,21,10,5,6,10,8,27,9,10,9,18,16,6,1,9,14,14,14,6,4,9,17,10,20,8,9,9,10,6,16,20,11,10,16,19,3,2,10,10,6,4,10,21,23,12,14,6,24,6,3,12,10,7,11,22,7,4,10,19,12,19,11,8,7,11,17,17,10,8,12,23,20,17,8,12,19,4,1,20,8,17,18,8,6,8,20,22,10,11,11,8,11,8,7,10,16,10,12,10,5,3,4,3,2,2,15,8,6
49,14,9,10,13,12,14,1,24,10,9,6,14,26,12,20,7,11,21,25,16,8,25,7,7,14,7,9,9,20,5,6,8,21,18,6,8,10,13,8,9,9,2,8,6,11,4,29,8,0,9,4,10,10,9,10,8,7,10,6,15,9,14,6,8,9,4,10,20,6,3,7,12,9,9,8,7,18,8,18,9,10,9,12,8,26,10,7,9,18,5,11,17,6,11,10,26,8,6,8,4,9,4,18,14,19,7,7,8,30,9,6,4,17,3,6,16,8,10,18,13,18,27,6,2,15,19,11,9,2,10,9,18,16,24,12,7,28,7,8,14,10,23,26,14,12,9,27,16,15,4,6,9,6,7,8,7,25,6,8,6,8,10,4,8,7,6,10,14,6
50,6,1,6,10,20,6,9,16,2,4,4,10,18,8,13,2,3,18,18,8,6,17,2,3,10,4,5,4,12,4,3,6,13,22,2,6,14,6,1,6,1,10,1,4,9,7,22,9,9,0,7,4,2,1,2,9,9,2,3,12,3,10,3,5,3,5,2,18,3,11,2,8,18,3,10,2,10,6,10,4,12,1,8,2,19,2,2,1,9,4,8,10,2,3,9,20,12,9,1,12,3,7,10,12,15,4,16,3,23,4,7,12,9,8,3,13,3,6,10,10,10,18,3,8,6,10,14,17,10,2,4,14,11,16,4,6,18,6,10,11,14,16,19,5,15,1,18,13,7,12,2,12,3,2,2,2,16,2,3,2,5,6,5,7,7,11,8,7,9
51,12,7,6,10,13,13,4,23,9,7,4,10,23,8,20,5,10,18,25,14,7,26,6,5,10,4,7,7,19,4,4,4,20,22,5,7,7,12,7,8,8,4,6,4,8,8,27,9,4,7,0,9,8,8,8,10,9,8,4,12,7,10,4,7,8,2,8,17,4,4,5,8,10,7,10,6,16,4,17,7,13,7,7,6,26,8,5,8,15,4,8,15,4,9,7,24,12,10,6,5,8,7,16,10,15,4,9,7,30,8,7,6,15,7,4,12,7,8,17,10,17,24,4,2,13,18,8,10,4,8,7,13,15,22,10,3,25,6,10,11,13,22,24,12,15,8,26,13,14,7,5,12,4,6,6,6,23,5,6,5,7,8,6,7,8,11,6,13,10
52,4,3,10,14,21,8,10,14,2,2,5,14,16,11,11,4,2,21,17,6,3,16,4,6,14,7,2,2,10,5,5,8,11,20,5,3,16,4,3,9,4,12,4,5,12,7,19,6,10,4,9,0,3,4,2,6,6,2,5,16,2,15,5,2,2,7,2,22,5,13,4,12,20,2,6,4,9,8,9,2,10,3,11,5,17,3,4,4,8,6,10,14,6,4,11,17,8,6,5,13,2,6,8,15,18,7,16,2,21,2,6,15,8,9,5,17,2,2,8,13,8,16,6,10,4,9,16,18,12,2,7,17,14,14,2,8,16,4,6,15,10,15,17,4,11,3,16,17,5,14,5,10,6,4,3,5,15,4,7,5,2,3,6,3,4,7,10,5,9
53,5,1,8,11,21,6,10,14,1,2,5,11,16,8,12,4,2,19,16,6,5,17,3,4,12,4,4,3,11,5,4,7,11,21,3,5,15,4,2,7,1,12,2,5,10,7,20,8,10,2,8,3,0,2,1,8,8,1,4,14,2,12,4,4,2,6,1,18,4,12,4,10,19,2,8,3,8,7,8,2,11,1,9,3,17,1,4,1,8,5,9,11,4,2,10,17,11,8,2,12,2,6,9,12,16,5,16,2,21,2,6,14,8,10,4,14,2,5,9,10,8,17,4,9,4,9,15,18,12,1,5,16,11,14,3,7,17,5,9,13,12,15,16,4,13,1,16,15,6,14,4,11,4,3,3,3,15,4,4,4,4,6,6,6,6,9,9,6,9
54,6,1,6,10,20,6,9,15,2,4,4,10,17,8,13,3,2,18,17,7,7,18,2,3,10,4,5,4,12,4,3,6,12,23,3,7,14,5,1,6,1,12,2,4,10,7,20,9,9,1,8,4,2,0,2,9,10,2,4,12,3,11,4,5,4,6,2,18,4,12,3,8,18,4,10,2,9,7,10,4,12,1,8,2,19,2,3,1,8,4,8,11,3,2,10,19,12,10,2,12,4,7,10,11,15,4,16,4,23,4,7,12,9,8,4,12,3,6,10,10,8,18,4,9,5,10,14,17,10,2,3,14,10,15,4,7,18,6,10,10,14,15,17,5,14,2,18,13,6,14,3,12,4,2,3,2,16,3,3,3,5,7,6,7,7,10,8,6,9
55,4,1,8,12,22,6,10,15,1,2,5,12,16,9,11,4,2,20,16,6,5,16,4,4,11,5,4,2,11,5,4,8,11,22,4,6,16,4,2,8,2,12,3,5,10,7,19,8,10,2,8,2,1,2,0,8,8,1,5,13,2,13,5,3,2,6,1,20,5,12,4,10,18,2,8,4,8,8,9,2,12,1,9,3,18,1,4,1,7,5,9,12,4,2,11,18,10,8,3,13,2,6,8,12,16,5,16,2,21,2,5,14,8,9,4,14,2,4,8,11,8,17,4,10,4,8,16,19,12,1,5,16,11,14,3,7,16,4,8,12,12,15,16,4,13,1,18,14,5,13,4,11,4,4,3,3,14,4,5,4,4,5,6,6,6,9,9,6,9
56,7,9,15,18,20,14,8,16,8,6,9,20,19,18,14,10,8,28,18,8,4,18,10,12,19,12,5,6,12,8,11,14,14,13,10,3,16,8,9,15,9,10,10,10,17,5,22,1,8,9,10,6,8,9,8,0,2,8,11,22,7,20,10,5,6,10,8,27,9,10,10,18,16,7,1,10,14,14,15,6,4,9,16,10,18,8,10,10,10,6,16,19,12,10,16,20,2,2,10,11,6,4,11,21,24,12,14,6,23,6,3,12,10,7,11,22,6,4,11,19,13,18,12,8,6,10,16,16,10,8,13,23,19,16,8,13,19,4,1,20,8,17,20,8,6,8,18,21,10,12,11,8,12,9,8,10,17,10,12,10,5,3,5,3,3,2,15,8,7
57,8,9,16,20,17,14,7,17,8,6,8,20,20,16,15,10,8,28,20,10,3,19,9,11,19,12,5,6,14,8,11,14,15,13,10,3,16,7,8,15,9,8,10,10,17,4,22,2,7,9,9,6,8,10,8,2,0,8,10,22,7,20,10,5,6,9,8,26,9,9,9,17,14,6,2,9,15,14,14,6,4,9,16,11,20,8,10,9,10,6,16,20,11,10,16,21,3,1,10,10,6,3,12,19,23,12,14,6,25,6,3,11,11,6,10,22,7,4,12,19,12,19,11,8,8,12,16,16,9,8,13,22,20,17,8,12,20,4,2,20,7,18,20,7,6,8,20,21,10,11,11,7,11,8,7,10,19,9,12,11,5,4,4,3,2,2,15,8,5
58,4,1,7,12,21,6,10,15,1,2,5,12,16,9,12,4,2,20,16,6,5,16,4,4,11,5,4,2,11,5,4,8,12,22,4,6,15,4,2,7,1,12,2,5,10,6,21,8,10,2,8,2,1,2,1,8,8,0,4,14,2,12,4,3,2,6,1,19,5,12,4,9,19,2,8,3,8,7,8,2,12,1,9,3,17,1,4,1,8,6,9,12,4,2,10,18,10,8,2,13,2,6,8,13,16,4,16,2,21,2,5,14,8,10,4,14,2,5,9,12,8,17,4,10,5,8,16,19,12,1,5,16,12,14,3,8,18,4,8,13,12,14,17,4,13,1,18,15,6,13,4,11,4,3,3,3,15,4,4,4,4,5,6,5,6,9,9,6,8
59,8,4,5,9,17,9,6,19,5,4,2,10,20,6,16,1,6,18,20,10,8,20,2,2,9,3,6,4,14,2,1,4,16,23,2,8,12,8,4,5,4,8,2,1,6,8,24,10,6,3,4,5,4,4,5,11,10,4,0,11,4,10,1,6,4,2,4,18,2,8,1,7,14,4,10,2,12,4,13,5,14,4,7,2,21,4,1,4,12,4,7,11,2,6,7,21,12,10,2,8,4,8,13,10,14,2,12,4,26,4,7,9,12,8,1,12,4,7,13,9,12,22,1,5,8,12,12,14,8,4,4,12,11,19,7,3,20,6,11,10,14,20,20,8,15,4,22,13,10,10,1,12,1,2,4,2,19,1,2,1,6,8,6,7,8,11,5,10,10
60,18,12,10,14,8,18,15,29,14,15,13,14,30,14,26,11,14,22,28,19,18,31,13,10,14,10,17,16,23,12,12,8,24,34,12,19,5,18,13,13,13,16,12,11,5,18,34,22,15,12,12,16,14,12,13,22,22,14,11,0,16,15,12,17,16,12,14,6,14,15,12,5,9,15,21,13,21,8,22,16,24,13,9,11,30,14,12,13,20,16,14,19,10,15,5,29,25,21,11,16,15,18,22,14,3,9,9,15,33,16,19,15,21,19,12,17,16,17,21,14,21,29,10,14,17,21,5,16,14,13,13,14,19,26,16,10,30,18,22,14,26,27,29,17,26,13,30,17,20,18,11,23,10,13,14,11,29,11,11,11,17,20,18,18,20,23,7,19,20
61,6,2,9,13,20,8,8,16,2,1,4,13,18,11,13,4,3,20,17,8,4,18,3,6,13,6,2,1,13,3,4,8,13,20,4,4,14,5,2,9,3,11,4,4,10,5,22,7,9,3,7,2,2,3,2,7,7,2,4,16,0,14,4,2,1,5,2,21,4,11,4,11,17,1,6,3,10,7,10,1,10,3,10,4,18,2,3,3,9,4,10,13,5,4,10,19,9,7,4,11,1,5,10,14,18,6,15,1,23,1,4,12,9,8,4,15,1,3,10,12,9,17,5,8,6,10,14,18,10,2,6,16,13,15,4,6,20,3,7,13,11,16,19,5,12,2,18,15,7,12,5,10,5,2,1,4,16,4,6,4,2,4,4,4,5,8,9,7,7
62,13,12,5,2,23,6,14,12,12,14,12,2,14,4,10,10,12,8,14,12,17,15,12,8,2,8,16,15,10,12,10,9,11,33,11,18,17,13,12,6,11,14,10,10,13,18,18,21,14,10,10,15,12,11,13,20,20,12,10,15,14,0,10,16,14,12,12,18,12,14,11,11,21,14,20,11,6,9,7,14,24,11,7,10,15,12,10,11,10,15,4,5,9,11,13,15,21,19,10,14,13,17,10,2,15,8,20,14,20,14,16,15,10,16,9,3,14,16,16,2,8,15,9,12,13,16,17,19,13,12,8,4,5,13,12,9,15,16,20,2,24,12,15,14,26,12,16,4,10,16,10,22,9,12,13,10,14,10,8,10,15,17,16,17,17,21,11,13,19
63,9,4,5,9,16,9,6,18,4,5,2,10,20,6,16,2,6,18,21,10,8,21,2,2,9,2,6,5,16,2,1,4,16,24,2,8,11,8,4,5,4,7,3,1,6,8,25,10,6,3,4,5,4,4,5,10,10,4,1,12,4,10,0,6,5,2,4,16,2,8,1,8,14,5,11,2,12,4,13,5,14,4,6,3,22,5,2,4,11,5,6,11,1,6,6,22,13,10,3,9,5,8,14,10,14,2,13,5,25,4,8,9,12,7,1,12,4,7,13,8,13,22,1,5,9,13,12,14,7,4,4,12,11,20,7,3,21,7,10,10,14,20,21,8,16,4,21,12,10,10,1,13,1,2,4,2,19,1,2,1,6,8,7,8,9,11,5,10,10
64,6,4,10,14,20,9,8,15,3,1,4,15,18,12,13,5,3,23,18,8,2,18,4,6,15,8,1,1,13,4,6,9,14,17,5,2,14,6,4,10,4,11,5,5,12,5,22,5,8,5,7,2,4,5,3,5,5,3,6,17,2,16,6,0,2,6,3,22,4,11,5,12,17,2,5,4,10,8,10,2,9,4,12,6,18,3,5,4,9,4,12,14,7,5,12,19,7,5,6,12,2,5,10,15,19,8,16,2,22,2,4,12,10,8,6,18,2,2,10,14,9,17,7,8,6,10,14,16,10,3,8,18,14,16,4,7,19,2,6,16,9,16,19,6,10,4,18,18,7,12,6,8,6,4,2,6,16,5,7,6,1,2,5,2,3,6,10,7,7
65,6,3,10,13,21,8,9,15,2,1,4,13,18,10,13,4,2,22,17,7,3,17,3,6,14,7,2,1,12,4,5,8,13,19,4,4,14,5,3,10,3,11,4,4,10,6,22,6,9,3,8,2,2,4,2,6,6,2,4,16,1,14,5,2,0,6,2,20,4,12,4,12,18,1,6,3,9,8,10,1,9,3,11,5,17,2,4,3,9,4,10,14,6,4,10,18,9,6,4,12,1,5,10,14,18,7,16,1,23,1,4,12,9,8,4,16,1,3,10,13,9,18,5,8,6,10,14,18,10,2,6,17,14,15,4,6,18,3,6,14,10,16,19,5,12,2,18,16,7,12,5,9,5,3,2,5,16,4,6,5,2,4,5,4,4,7,10,7,8
66,11,6,6,10,15,11,4,20,6,6,2,10,22,8,18,4,8,18,23,12,6,22,4,3,10,4,5,5,17,2,3,5,18,22,4,6,9,10,6,6,6,6,4,2,8,7,25,10,4,5,2,7,6,6,6,10,9,6,2,12,5,12,2,6,6,0,6,18,2,6,3,8,12,5,10,4,15,5,15,6,12,6,8,4,23,6,3,6,14,4,8,13,3,8,7,24,11,10,4,7,6,7,14,12,16,4,11,6,28,6,6,8,14,6,3,12,5,6,15,10,14,24,3,3,10,15,10,13,5,6,6,14,13,22,9,3,22,6,10,12,14,21,23,11,14,6,22,13,12,8,3,12,3,4,4,4,22,3,4,3,5,7,5,6,7,10,6,11,9
67,4,1,8,12,20,6,10,14,1,2,5,12,16,9,12,4,2,19,17,6,5,16,4,4,12,5,3,2,11,5,4,7,12,22,4,6,16,4,2,7,2,12,2,5,10,7,19,8,10,2,8,2,1,2,1,8,8,1,4,14,2,12,4,3,2,6,0,20,5,13,4,10,19,2,8,3,8,7,9,2,11,1,9,3,17,1,4,1,8,6,9,12,4,2,11,18,10,8,3,13,2,6,9,12,17,5,18,2,21,2,5,14,8,10,4,15,2,4,9,11,8,18,4,10,4,9,15,19,12,1,5,15,12,14,3,7,18,4,8,12,12,15,17,4,13,1,17,14,6,14,4,10,4,3,3,3,15,4,4,4,4,5,6,6,6,9,10,5,8
68,22,18,13,17,9,20,20,32,18,21,19,17,34,17,27,16,19,26,34,22,23,33,18,15,17,15,21,21,26,19,17,14,27,39,18,24,11,19,18,16,17,20,17,17,11,24,37,27,20,18,17,22,18,18,20,27,26,19,18,6,21,18,16,22,20,18,20,0,19,20,18,10,14,20,26,17,25,14,24,20,31,18,12,18,34,19,18,18,23,22,17,23,16,17,11,34,30,26,16,22,20,25,24,18,3,15,14,21,37,22,24,21,24,23,16,20,21,24,24,17,25,31,16,20,20,25,11,22,20,20,16,18,23,30,20,16,32,24,26,17,32,30,34,20,32,19,34,20,21,24,16,31,15,19,21,17,30,18,15,16,22,23,22,24,24,28,12,21,27
69,9,4,6,11,17,9,5,20,5,4,1,11,20,8,17,2,6,19,20,10,6,22,2,3,12,4,4,3,15,1,2,6,16,22,2,6,10,9,4,6,4,8,3,2,8,6,24,9,6,3,4,5,4,4,5,9,9,5,2,14,4,12,2,4,4,2,5,19,0,8,1,9,15,4,9,2,13,5,13,4,12,4,8,3,22,5,1,4,12,3,8,12,3,6,8,23,11,8,2,9,4,6,12,12,16,4,13,4,26,4,6,9,12,6,2,14,3,5,13,11,13,22,3,5,9,14,11,14,7,4,4,15,11,20,7,4,21,5,9,12,13,20,22,8,14,4,20,14,10,9,2,11,3,2,2,2,19,2,4,2,4,6,5,6,7,10,7,10,9
70,17,12,10,13,11,16,3,26,12,11,8,13,28,13,23,9,13,22,28,18,11,30,10,9,13,8,12,11,22,8,8,6,23,21,9,10,10,16,11,12,12,1,10,8,9,6,33,10,3,11,4,13,12,12,12,10,9,12,8,15,11,14,8,11,12,6,13,20,8,0,9,10,6,12,10,10,21,7,20,11,11,11,9,10,30,12,9,12,20,7,12,19,8,14,10,31,10,9,10,2,12,6,20,13,18,8,6,11,33,12,8,2,19,5,8,17,11,12,20,12,19,30,9,3,16,20,10,6,1,11,11,16,19,25,15,5,29,10,10,13,11,27,28,16,13,11,30,17,18,4,9,10,8,9,10,10,27,9,10,9,11,12,7,11,10,9,8,18,8
71,8,3,6,10,18,8,6,17,4,4,2,10,20,7,14,1,5,18,20,9,7,20,1,2,10,3,5,4,14,2,1,4,16,24,1,7,12,8,3,6,3,8,2,2,7,7,24,9,7,2,5,4,4,3,4,10,9,4,1,12,4,11,1,5,4,3,4,18,1,9,0,8,15,4,10,1,12,4,12,4,14,3,8,2,20,4,1,3,12,4,7,10,2,5,7,20,12,9,2,10,4,8,12,11,15,3,14,4,26,4,7,10,11,7,1,13,3,6,12,10,12,20,2,6,8,12,12,15,8,4,3,13,10,18,6,4,21,6,10,10,14,19,20,8,15,3,22,13,9,10,2,13,2,2,3,1,19,1,3,2,5,7,6,7,8,11,6,9,10
72,13,8,6,10,12,14,12,24,10,12,9,10,24,9,20,8,11,18,26,16,15,26,9,6,10,5,13,11,20,9,7,4,20,31,8,14,6,13,9,9,9,11,8,8,2,14,29,18,12,8,8,12,10,8,10,18,17,9,7,5,11,11,8,12,12,8,10,10,9,10,8,0,10,11,18,9,18,4,18,12,20,9,5,7,25,10,8,9,17,12,9,15,6,10,2,27,19,18,7,11,11,16,18,10,7,6,8,12,29,12,14,11,17,15,8,13,11,14,18,10,17,24,7,10,13,17,7,12,11,10,9,10,15,23,12,6,26,14,17,10,21,22,26,12,22,10,26,14,14,14,7,20,7,10,10,8,24,8,7,7,13,14,13,14,16,18,3,14,18
73,23,18,15,19,6,23,9,33,19,17,14,19,34,18,31,16,19,30,35,24,16,34,16,16,19,14,18,16,29,14,15,12,28,25,16,16,4,22,17,19,18,7,17,13,9,12,38,16,9,18,10,20,19,18,18,16,14,19,14,9,17,21,14,17,18,12,19,14,15,6,15,10,0,17,16,16,25,12,26,18,16,18,14,17,36,18,14,18,25,14,18,24,15,20,8,35,16,15,16,7,18,13,27,18,12,15,2,18,39,18,14,6,26,10,15,23,17,18,26,19,26,35,14,10,23,26,5,7,8,19,17,19,24,32,20,12,36,15,16,18,17,34,34,22,18,18,34,24,24,9,14,16,14,16,16,16,34,16,15,15,17,19,13,17,16,16,9,23,12
74,6,3,9,14,19,8,9,15,2,1,4,13,18,11,13,4,3,22,18,7,4,18,3,6,13,7,2,1,12,4,4,8,13,19,4,4,14,5,3,9,3,11,4,4,10,6,21,6,9,3,7,2,2,4,2,7,6,2,4,15,1,14,5,2,1,5,2,20,4,12,4,11,17,0,6,3,9,7,10,1,10,3,11,4,17,2,4,3,8,4,10,14,6,4,10,18,8,6,4,12,1,5,9,14,19,6,16,1,23,1,4,13,9,8,4,16,1,3,10,12,8,18,5,9,6,10,14,18,10,2,7,17,14,15,4,6,18,3,7,15,10,16,18,5,12,2,18,16,7,13,5,9,5,3,2,5,16,4,6,5,2,4,5,4,4,8,9,6,7
75,6,9,16,20,20,14,8,16,8,6,8,19,18,17,14,10,8,28,17,8,4,18,10,12,20,12,5,6,12,9,11,14,13,13,10,3,17,8,9,14,9,10,10,10,17,5,21,1,8,10,10,6,8,10,8,1,2,8,10,21,6,20,11,5,6,10,8,26,9,10,10,18,16,6,0,9,16,14,15,7,4,9,17,11,19,8,10,9,10,6,17,20,11,10,16,19,2,2,10,11,7,4,10,20,23,13,16,7,23,7,3,12,10,7,10,22,7,4,10,19,13,19,11,8,7,11,17,16,9,8,13,23,19,16,8,12,19,4,1,20,8,17,18,8,6,8,18,22,10,12,10,8,12,9,8,10,16,10,13,10,5,4,5,3,3,2,16,8,6
76,8,2,6,10,18,8,7,18,4,4,2,11,19,8,14,1,5,19,18,9,6,19,1,3,10,4,5,4,14,2,2,5,14,22,1,7,12,7,2,6,2,9,1,2,8,6,23,9,7,2,6,4,3,2,4,10,9,3,2,13,3,11,2,4,3,4,3,17,2,10,1,9,16,3,9,0,11,5,12,3,12,2,8,2,20,3,1,2,11,4,8,10,2,4,8,21,11,9,2,10,3,7,11,11,15,4,15,3,24,3,7,10,10,6,2,13,3,6,12,10,10,19,2,7,8,12,12,16,9,3,4,15,10,16,6,4,21,6,9,12,13,18,19,7,14,2,20,13,8,11,2,12,2,1,2,2,17,1,4,2,5,6,5,7,7,10,6,9,9
77,9,10,11,8,28,4,18,6,8,9,13,8,9,8,4,12,8,13,9,8,12,8,11,11,8,13,10,10,5,13,12,14,6,27,12,12,24,8,9,8,9,19,10,13,19,15,12,14,18,10,16,9,8,9,8,14,15,8,12,21,10,6,12,10,9,15,8,25,13,21,12,18,25,9,16,11,0,15,1,9,18,9,12,10,9,8,11,9,5,13,8,5,12,7,18,10,18,15,10,22,9,14,5,8,22,13,24,9,14,9,13,21,5,17,12,8,10,12,11,8,2,9,12,18,9,10,24,27,20,9,9,9,5,7,8,14,10,11,14,7,18,7,9,7,20,10,9,8,5,21,12,18,12,12,10,11,7,12,11,12,11,12,14,12,12,15,17,7,17
78,11,6,4,8,14,12,8,21,8,8,6,8,22,7,18,4,9,18,24,14,10,23,5,4,8,3,9,8,17,5,4,1,19,28,4,11,8,11,6,7,6,8,5,4,4,10,27,14,8,6,4,8,7,7,8,14,14,7,4,8,7,9,4,8,8,5,7,14,5,7,4,4,12,7,14,5,15,0,15,8,18,6,3,5,23,7,4,7,14,8,8,14,4,8,4,24,16,13,5,7,8,11,15,8,10,3,10,8,30,8,11,8,14,10,3,12,8,10,16,8,16,24,3,6,12,15,9,11,7,6,6,10,13,20,10,2,24,10,14,8,17,21,25,10,19,6,24,12,13,10,4,16,4,6,7,4,22,4,4,4,9,11,10,11,12,14,3,12,13
79,9,9,12,8,28,4,18,6,8,9,13,8,8,9,3,11,8,13,8,8,11,8,12,12,8,12,10,10,5,13,13,16,6,29,12,12,24,8,10,9,10,21,11,14,19,15,12,14,18,10,17,9,8,10,9,15,14,8,13,22,10,7,13,10,10,15,9,24,13,20,12,18,26,10,15,12,1,15,0,9,19,10,13,11,9,9,12,10,5,14,9,5,12,7,19,9,17,14,10,22,9,15,5,8,22,13,24,10,13,10,13,21,5,17,13,7,10,11,11,8,2,8,12,18,9,11,24,27,20,9,9,8,5,6,7,15,9,12,15,8,19,7,9,7,19,10,8,8,4,21,12,18,12,12,11,11,7,12,11,12,11,12,14,12,12,15,18,7,16
